ID1,ID2,Value,Correlation,Retention Time Difference,MZ Difference,Matched MZ Difference,Matched FormulaChange,Matched Reaction Description
548.0,1444.0,1.5447613494977614,0.999805622840804,0.0,18.0111,18.0106,(+H2O),Hydrolyzation/loss of H2O
692.0,1364.0,1.7465719963418307,-0.0307389106942195,0.9350000000000024,13.980000000000018,13.9793,(H2+O),dehydrogenation and gain  of oxygen
692.0,1523.0,1.853426244380336,0.0245827982137696,0.6600000000000001,17.026700000000005,17.0265,NH3,Add. Ions (M+NH4)
692.0,1595.0,1.75210571243137,0.8930809229202817,3.331999999999999,18.010400000000004,18.0106,(+H2O),Hydrolyzation/loss of H2O
737.0,2021.0,1.974958896307965,0.1503813097361302,0.1430000000000006,26.015600000000006,26.015,(+C2H2)/ (+C2H2O-O),Acetylation and  loss of OH
737.0,2114.0,1.9790912018651496,0.1415049813566297,1.5130000000000017,28.031799999999976,28.0313,(+C2H4),loss/addition of C2H4
737.0,3852.0,1.9431258064212604,0.1263794302131127,0.6780000000000008,70.04219999999998,70.0419,(+C4H6O),butyrylation
737.0,6902.0,1.9433716024496657,0.5176380848626014,2.756,161.0156,161.0146,(+C5H7NO3S),N-Acetylcysteine
744.0,1429.0,1.9516870788711744,0.99999877991995,0.2539999999999995,14.01600000000002,14.0157,(+CH2),Methylation/Demethylation
746.0,1428.0,1.6087274482817584,0.99991301195771,0.2539999999999995,14.015899999999988,14.0157,(+CH2),Methylation/Demethylation
766.0,1551.0,1.8512783192437816,0.9981808574941056,2.231,15.995300000000045,15.9949,(O),oxidation/hydroxylation
766.0,1552.0,1.7577473030373931,0.9980808341252796,1.758,15.995300000000045,15.9949,(O),oxidation/hydroxylation
902.0,1777.0,1.9922950139729267,-0.0939475239214071,1.686,18.011000000000024,18.0106,(+H2O),Hydrolyzation/loss of H2O
902.0,1778.0,1.995911141293204,0.9995581496981046,0.879999999999999,18.0111,18.0106,(+H2O),Hydrolyzation/loss of H2O
902.0,1779.0,1.993786783172673,0.9956998455691122,1.0189999999999984,18.01120000000003,18.0106,(+H2O),Hydrolyzation/loss of H2O
902.0,2424.0,1.9942859861873348,0.9999810753541004,0.7569999999999979,31.9896,31.9898,(+2O),Dihydroxylation
902.0,3464.0,1.9169334362352413,0.9997793503214386,1.3810000000000002,56.06530000000004,56.0626,(C4H8),loss of butyl
941.0,2188.0,1.6464819411269742,0.9878377523446696,1.2649999999999988,26.015199999999997,26.015,(+C2H2)/ (+C2H2O-O),Acetylation and  loss of OH
1101.0,2156.0,1.7687677774771564,-0.2438697832139862,2.2600000000000016,22.00559999999996,22.0055,(-CH2+2H2O),Demethylation+Dihydrolyzation
1101.0,2160.0,1.8750885499649204,0.992935709284922,1.0079999999999991,22.0059,22.0055,(-CH2+2H2O),Demethylation+Dihydrolyzation
1101.0,2790.0,1.8569928040436008,0.999809938676745,0.8889999999999993,36.02139999999997,36.0212,(2*H2O),Hydrogenation+Oxydrolysis/Ester hydrolysis on furan ring
1101.0,2791.0,1.890981171112664,0.9972126064742666,1.7029999999999994,36.0215,36.0212,(2*H2O),Hydrogenation+Oxydrolysis/Ester hydrolysis on furan ring
1364.0,1595.0,1.6217262922316469,0.4219223000902629,4.267000000000001,4.030399999999986,4.0313,(-2H2),Dihydrogenation
1523.0,1595.0,1.7389645310830013,0.4714347120521268,3.991999999999999,0.9836999999999988,0.984,(-NH2+OH),oxidativedeamination
1523.0,5028.0,1.6549095373785814,0.998442648125298,1.1920000000000002,85.09280000000001,85.0891,(+C5NH11),loss/addition of choline
1777.0,2424.0,1.9982474448999727,-0.0895248863152868,0.929000000000002,13.978599999999972,13.9793,(H2+O),dehydrogenation and gain  of oxygen
1778.0,2424.0,1.998118274902955,0.9996774410239226,0.1230000000000011,13.978499999999997,13.9793,(H2+O),dehydrogenation and gain  of oxygen
1779.0,2424.0,1.9992718315071285,0.9961021649463196,0.2620000000000004,13.978399999999963,13.9793,(H2+O),dehydrogenation and gain  of oxygen
2021.0,2114.0,1.986235478825516,0.992477768340264,1.370000000000001,2.0161999999999694,2.0157,(H2),dehydrogenation/hydrogenation
2021.0,3174.0,1.9886639628059768,0.998726399722477,1.0670000000000002,26.016899999999964,26.015,(+C2H2)/ (+C2H2O-O),Acetylation and  loss of OH
2021.0,3255.0,1.991641535258208,0.9769857232901512,1.8580000000000003,28.03109999999998,28.0313,(+C2H4),loss/addition of C2H4
2021.0,3256.0,1.990240501685085,0.9966508573944708,2.0730000000000004,28.031299999999987,28.0313,(+C2H4),loss/addition of C2H4
2021.0,3494.0,1.5434212776246097,-0.2212949129454838,3.367000000000001,34.00609999999995,34.0055,(+O+H2O),Oxydrolysis/Hydrogenation+Dihydroxylation
2021.0,3852.0,1.782233783596339,0.9989689239710604,0.5350000000000001,44.02659999999997,44.0263,(+H2+ C2H2O),Acetylation and hydrogenation
2021.0,4316.0,1.9924271513488736,0.996141115223722,2.695999999999998,56.0641,56.0626,(C4H8),loss of butyl
2114.0,3174.0,1.9739377695615272,0.9929841817394373,0.3030000000000008,24.000699999999995,24.0,(C2H2O-H2O),Acetylation and loss of H2O
2114.0,3255.0,1.9924093050993184,0.9950754225530488,0.4879999999999995,26.01490000000001,26.015,(+C2H2)/ (+C2H2O-O),Acetylation and  loss of OH
2114.0,3256.0,1.986628623728354,0.998329326338697,0.7029999999999994,26.015100000000015,26.015,(+C2H2)/ (+C2H2O-O),Acetylation and  loss of OH
2114.0,3852.0,1.9673948071715133,0.9960978015082992,0.8350000000000009,42.0104,42.0106,(+C2H2O),Acetylation/Deacetylation
