ID1,ID2,Value,Correlation,Retention Time Difference,MZ Difference
548,1444,1.5447613494977614,0.9998056228408041,0.0,18.0111
692,1364,1.7465719963418307,-0.030738910694219572,0.9350000000000023,13.980000000000018
692,1523,1.853426244380336,0.024582798213769675,0.6600000000000001,17.026700000000005
692,1595,1.75210571243137,0.8930809229202817,3.331999999999999,18.010400000000004
737,2021,1.974958896307965,0.15038130973613023,0.14300000000000068,26.015600000000006
737,2114,1.9790912018651496,0.1415049813566297,1.5130000000000017,28.031799999999976
737,3852,1.9431258064212604,0.12637943021311274,0.6780000000000008,70.04219999999998
737,6902,1.9433716024496657,0.5176380848626014,2.7560000000000002,161.0156
744,1429,1.9516870788711744,0.9999987799199499,0.25399999999999956,14.01600000000002
746,1428,1.6087274482817584,0.9999130119577101,0.25399999999999956,14.015899999999988
766,1551,1.8512783192437816,0.9981808574941057,2.231,15.995300000000043
766,1552,1.7577473030373931,0.9980808341252795,1.758,15.995300000000043
902,1777,1.9922950139729267,-0.09394752392140715,1.686,18.011000000000024
902,1778,1.995911141293204,0.9995581496981046,0.879999999999999,18.0111
902,1779,1.993786783172673,0.9956998455691122,1.0189999999999984,18.01120000000003
902,2424,1.9942859861873348,0.9999810753541005,0.7569999999999979,31.989599999999996
902,3464,1.9169334362352413,0.9997793503214386,1.3810000000000002,56.065300000000036
941,2188,1.6464819411269742,0.9878377523446696,1.2649999999999988,26.015199999999993
1101,2156,1.7687677774771564,-0.24386978321398628,2.2600000000000016,22.00559999999996
1101,2160,1.8750885499649204,0.992935709284922,1.0079999999999991,22.005899999999997
1101,2790,1.8569928040436008,0.999809938676745,0.8889999999999993,36.02139999999997
1101,2791,1.890981171112664,0.9972126064742666,1.7029999999999994,36.0215
1364,1595,1.6217262922316469,0.4219223000902629,4.267000000000001,4.030399999999986
1523,1595,1.7389645310830013,0.47143471205212684,3.991999999999999,0.9836999999999989
1523,5028,1.6549095373785814,0.998442648125298,1.1920000000000002,85.09280000000001
1777,2424,1.9982474448999727,-0.08952488631528681,0.929000000000002,13.978599999999972
