mzDiff,formulaChange,description
17.0265 ,NH3,Add. Ions (M+NH4)
21.9819 ,Na-H,Add. Ions (M+Na)
37.9559 ,K-H,Add. Ions (M+K)
6.0087 ,Li-H,Add. Ions (M+Li)
