mzDiff,formulaChange,description
35.976678,Cl+H,Add. Ions ([M+Cl)
46.005477,COOH+H,Add. Ions ([M+FA-H)/Hydrogenation and Methylation
82.00307453,CH3COONa,Add. Ions (M+CH3COONa-H)
