kegg1,kegg2,smiles1,smiles2,mass1,mass2,formula1,formula2,¦¤m/z,mzDiff,Count,Molecular formula changes
C00002,C05560,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OC(=O)CCC[C@@H](C(=O)O)N)O)O,506.9957,490.1213,C10H16N5O13P3,C16H23N6O10P,16.8744,16.8744,1,(/+C6  /+H7  /+N  /-O3  /-P2)
C00620,C03169,C([C@@H]1[C@H]([C@H]([C@H](O1)OP(=O)(O)O)O)O)O,C1=CN=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O,230.0192,213.0875,C5H11O8P,C9H13N2O4,16.9317,16.9317,1,(/+C4  /+H2  /+N2  /-O4  /-P)
C00002,C16617,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,C1=NC(=S)C2=C(N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,506.9957,523.9569,C10H16N5O13P3,C10H15N4O13P3S,-16.9612,16.9612,1,(/+S  /-H  /-N)
C00018,C00199,CC1=NC=C(C(=C1O)C=O)COP(=O)(O)O,C([C@H]([C@H](C(=O)CO)O)O)OP(=O)(O)O,247.0246,230.0192,C8H10NO6P,C5H11O8P,17.0054,17.0054,1,(/+H  /+O2  /-C3  /-N)
C00940,C17209,C(CC(=O)N)C(=O)C(=O)O,C1[C@H]([C@@H]([C@H]([C@@H](C1=O)O)O)O)O,145.0375,162.0528,C5H7NO4,C6H10O5,-17.0153,17.0154,1,(/+C  /+H3  /+O  /-N)
C05315,C15530,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC(=C(C=C4CC3)OC)OC)OC,C[C@@H]1[C@@H]2C3=CC(=C(C=C3CCN2CC4=C1C=CC(=C4OC)OC)OC)OC,352.1549,369.194,C21H22NO4,C22H27NO4,-17.0391,17.0391,1,(/+C  /+H5)
C00512,C07394,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)C4=CC=CC=C4)O,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@](C3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,871.1414,853.331,C28H40N7O17P3S,C47H51NO14,17.8104,17.8104,1,(/+C19  /+H11  /-N6  /-O3  /-P3  /-S)
C00852,C03062,C1[C@H]([C@H]([C@@H](C[C@@]1(C(=O)O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O,C1=CC(=C(C=C1/C=C/C(=O)O[C@H]([C@H]([C@@H]([C@@H](C(=O)O)O)O)O)C(=O)O)O)O,354.0951,372.0693,C16H18O9,C15H16O11,-17.9742,17.9742,1,(/+O2  /-C  /-H2)
C00188,C15533,C[C@H]([C@@H](C(=O)O)N)O,C([C@H]([C@@H](C(=O)O)N)O)F,119.0582,137.0488,C4H9NO3,C4H8FNO3,-17.9906,17.9906,1,(/+F  /-H)
C00190,C19774,C1[C@H]([C@@H]([C@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H](C(O2)N3C=CC(=O)NC3=O)O)O)O)O)O,C1[C@H]([C@@H]([C@H]([C@H](O1)OP(=O)(O)OC[C@@H]2[C@H]([C@@H]([C@@H]([C@H](O2)O[C@H]3[C@@H]([C@H](O[C@@H]([C@H]3O)O)CO)O)O)O)O)O)O)O,536.0445,554.1248,C14H22N2O16P2,C17H31O18P,-18.0803,18.0803,1,(/+C3  /+H9  /+O2  /-N2  /-P)
