kegg1,kegg2,smiles1,smiles2,mass1,mass2,formula1,formula2,¦¤m/z,mzDiff,Count,Molecular formula changes
C00950,C06484,C([C@H]([C@H](CS)O)O)S,C1[C@H]([C@H](CSS1)O)O,154.0122,151.9966,C4H10O2S2,C4H8O2S2,2.0156,2.0156,377,(/-H2)
C00074,C00111,C=C(C(=O)O)OP(=O)(O)O,C(C(=O)COP(=O)(O)O)O,167.9824,169.998,C3H5O6P,C3H7O6P,-2.0156,2.0156,377,(/+H2)
C11922,C18032,C[C@@H]1C(=O)[C@@H](C[C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H](C[C@@H](O2)N3C=C(C(=O)NC3=O)C)O)O,C[C@@H]1C(=O)CC[C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H](C[C@@H](O2)N3C=C(C(=O)NC3=O)C)O,530.0703,514.0754,C16H24N2O14P2,C16H24N2O13P2,15.9949,15.9949,293,(/-O)
C00091,C04348,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)CCC(=O)O)O,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)C[C@@H](C(=O)O)O)O,867.1313,883.1262,C25H40N7O19P3S,C25H40N7O20P3S,-15.9949,15.9949,293,(/+O)
C06390,C06392,CC(=O)[C@H]1[C@@H](CC2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)O,CC(=O)C1=CCC2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,332.2351,314.2246,C21H32O3,C21H30O2,18.0105,18.0105,186,(/-H2  /-O)
C00922,C03652,C/C(=C(\C)/C(=O)O)/C(=O)O,C[C@H](C(=O)O)C(C)(C(=O)O)O,144.0423,162.0528,C6H8O4,C6H10O5,-18.0105,18.0105,186,(/+H2  /+O)
C06055,C06056,C([C@H]([C@@H](C(=O)O)N)O)OP(=O)(O)O,C([C@H]([C@@H](C(=O)O)N)O)O,215.0195,135.0532,C4H10NO7P,C4H9NO4,79.9663,79.9663,149,(/-H  /-O3  /-P)
C00180,C06206,C1=CC=C(C=C1)C(=O)O,C1=CC=C(C=C1)C(=O)OP(=O)(O)O,122.0368,202.0031,C7H6O2,C7H7O5P,-79.9663,79.9663,149,(/+H  /+O3  /+P)
C00013,C00536,OP(=O)(O)OP(=O)(O)O,OP(=O)(O)OP(=O)(O)OP(=O)(O)O,177.9432,257.9096,H4P2O7,H5P3O10,-79.9664,79.9663,149,(/+H  /+P  /+O3)
C00064,C00152,C(CC(=O)N)[C@@H](C(=O)O)N,C([C@@H](C(=O)O)N)C(=O)N,146.0691,132.0535,C5H10N2O3,C4H8N2O3,14.0156,14.0156,135,(/-C  /-H2)
C04834,C04867,CC[C@]1([C@H](O1)CC/C(=C/CC/C(=C/C(=O)O)/C)/C)C,CC[C@]1([C@H](O1)CC/C(=C/CC/C(=C/C(=O)OC)/C)/C)C,266.1882,280.2038,C16H26O3,C17H28O3,-14.0156,14.0156,135,(/+C  /+H2)
C00063,C00941,C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,C1[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=NC3=O)N)O)OP(=O)(O1)O,482.9845,305.0413,C9H16N3O14P3,C9H12N3O7P,177.9432,177.9432,104,(/-H4  /-O7  /-P2)
C19735,C19760,CC1=CC[C@H]2C[C@@H]1[C@@]2(C)CCC=C(C)C,CC(=CCC/C(=C\CC/C(=C\COP(=O)(O)OP(=O)(O)O)/C)/C)C,204.1878,382.131,C15H24,C15H28O7P2,-177.9432,177.9432,104,(/+H4  /+O7  /+P2)
C19699,C19700,C1=CC2=C(C(=C1)Cl)NC3=C4C(=C5C(=C23)C(=O)NC5=O)C6=C(N4)C(=CC=C6)Cl,C1=CC2=C(C(=C1)Cl)NC3=C4C(=C5C(=C23)C(=O)NC5=O)C6=C(N4[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)C(=CC=C6)Cl,393.0072,555.06,C20H9Cl2N3O2,C26H19Cl2N3O7,-162.0528,162.0528,96,(/+C6  /+H10  /+O5)
C00492,C05402,C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@H](O2)O[C@]3([C@H]([C@@H]([C@H](O3)CO)O)O)CO)O)O)O)O)O)O)O,C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H](C(O2)O)O)O)O)O)O)O)O,504.169,342.1162,C18H32O16,C12H22O11,162.0528,162.0528,96,(/-C6  /-H10  /-O5)
C00431,C03087,C(CCN)CC(=O)O,CC(=O)NCCCCC(=O)O,117.079,159.0895,C5H11NO2,C7H13NO3,-42.0105,42.0106,76,(/+C2  /+H2  /+O)
C20505,C20507,CC(=O)OCC[C@@H]1[C@H](OC2=C1C(=C3C(=C2)C(=O)C4=CC(=CC(=C4C3=O)O)O)O)O,C1=C(C=C2C(=C1O)C(=O)C3=C(C4=C(C=C3C2=O)O[C@@H]([C@H]4CCO)O)O)O,400.0794,358.0689,C20H16O9,C18H14O8,42.0105,42.0106,76,(/-C2  /-H2  /-O)
C07113,C07114,CC(=O)C1=CC=CC=C1,C1=CC=C(C=C1)C(=O)CC(=O)O,120.0575,164.0473,C8H8O,C9H8O3,-43.9898,43.9898,68,(/+C  /+O2)
C01291,C01920,CC(=CCC/C(=C\C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O)/CC(=O)O)C,CC(=CCC/C(=C\C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O)/C)C,961.2095,917.2197,C32H50N7O19P3S,C31H50N7O17P3S,43.9898,43.9898,68,(/-C  /-O2)
C20359,C20395,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@@H]1OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=O)NC3=O)O)O)C(=O)O)O)N,CC(=O)N[C@H]1[C@H](O[C@@H]([C@H](C1=O)O)C(=O)O)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=O)NC3=O)O)O,620.0768,619.0452,C17H26N4O17P2,C17H23N3O18P2,1.0316,1.0316,58,(/+O  /-H3  /-N)
C19823,C19961,C[C@H]1C(=O)[C@@H]([C@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=O)NC3=O)O)O)NC(=O)C)O,C[C@H]1[C@@H]([C@@H]([C@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=O)NC3=O)O)O)NC(=O)C)O)N,589.071,590.1026,C17H25N3O16P2,C17H28N4O15P2,-1.0316,1.0316,58,(/+H3  /+N  /-O)
C04376,C04640,C([C@@H]1[C@H]([C@H]([C@@H](O1)NC(=O)CNC=O)O)O)OP(=O)(O)O,C([C@@H]1[C@H]([C@H]([C@@H](O1)/N=C(/CNC=O)\N)O)O)OP(=O)(O)O,314.0515,313.0675,C8H15N2O9P,C8H16N3O8P,0.984,0.984,54,(/+H  /+N  /-O)
C06560,C08735,C1(=NC(=NC(=N1)Cl)N)N,C1(=NC(=O)N=C(N1)Cl)N,145.0155,145.9995,C3H4ClN5,C3H3ClN4O,-0.984,0.984,54,(/+O  /-H  /-N)
C02380,C16613,C1=NC2=C(N1)C(=S)N=CN2,C12=C(NC(=O)N1)NC(=O)NC2=S,152.0157,184.0055,C5H4N4S,C5H4N4O2S,-31.9898,31.9898,51,(/+O2)
C09627,C19708,C[C@@H]1[C@@H](C[C@H](C2=CC[C@H](C[C@]12C)C(=C)C)O)O,C[C@@H]1CCCC2=CC[C@H](C[C@]12C)C(=C)C,236.1776,204.1878,C15H24O2,C15H24,31.9898,31.9898,51,(/-O2)
C00448,C20184,CC(=CCC/C(=C/CC/C(=C/COP(=O)(O)OP(=O)(O)O)/C)/C)C,CC1=C[C@@H]2[C@H](CC[C@@]([C@@H]2CC1)(C)O)C(C)C,382.131,222.1984,C15H28O7P2,C15H26O,159.9326,159.9326,46,(/-H2  /-O6  /-P2)
C11890,C11902,C[C@]12CCCC([C@@H]1CC[C@@H]3[C@@]24CC[C@@]([C@@H](C3)C4)(C)O)(C)C,C/C(=C\COP(=O)(O)OP(=O)(O)O)/CC[C@@H]1C(=C)CC[C@@H]2[C@@]1(CCCC2(C)C)C,290.261,450.1936,C20H34O,C20H36O7P2,-159.9326,159.9326,46,(/+H2  /+O6  /+P2)
C00136,C00332,CCCC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O,CC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O,837.1571,851.1363,C25H42N7O17P3S,C25H40N7O18P3S,-13.9792,13.9793,43,(/+O  /-H2)
C14418,C14602,C1=CC(=CC(=C1)O)[N+](=O)[O-],C1=CC(=CC(=C1)O)NO,139.0269,125.0477,C6H5NO3,C6H7NO2,13.9792,13.9793,43,(/+H2  /-O)
C07160,C20271,CC1=CC(=O)[C@@H](C1(C)C)CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C3N=CN=C4N)O)OP(=O)(O)O)O,CC1=CC(=O)[C@@H](C1(C)C)CC(=O)O,931.1989,182.0943,C31H48N7O18P3S,C10H14O3,749.1046,749.1046,30,(/-C21  /-H34  /-N7  /-O15  /-P3  /-S)
C00587,C05195,C1=CC(=CC(=C1)O)C(=O)O,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)C4=CC(=CC=C4)O)O,138.0317,887.1363,C7H6O3,C28H40N7O18P3S,-749.1046,749.1046,30,(/+C21  /+H34  /+N7  /+O15  /+P3  /+S)
C00199,C06019,C([C@H]([C@H](C(=O)CO)O)O)OP(=O)(O)O,C([C@H](C(=O)[C@@H]([C@@H](COP(=O)(O)O)O)O)O)O,230.0192,260.0297,C5H11O8P,C6H13O9P,-30.0105,30.0106,24,(/+C  /+H2  /+O)
C17217,C17245,CSCCCCC(C(=O)O)N,CSCCCC/C=N/O,177.0823,147.0718,C7H15NO2S,C6H13NOS,30.0105,30.0106,24,(/-C  /-H2  /-O)
C00415,C03204,C1C(=NC2=C(N1)NC(=NC2=O)N)CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,C1C(=NC2=C(N1)NC(=NC2=O)N)CN(C=O)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,443.1553,471.1502,C19H21N7O6,C20H21N7O7,-27.9949,27.9949,22,(/+C  /+O)
C04484,C06035,C(=C/O)\C(=C/C(=O)C(=O)O)\C(=O)O,C=C(CC(=O)C(=O)O)C(=O)O,186.0164,158.0215,C7H6O6,C6H6O5,27.9949,27.9949,22,(/-C  /-O)
C00353,C04217,CC(=CCC/C(=C/CC/C(=C/CC/C(=C/COP(=O)(O)OP(=O)(O)O)/C)/C)/C)C,CC(=CCC/C(=C/CC/C(=C/CC/C(=C/CC/C(=C/COP(=O)(O)OP(=O)(O)O)/C)/C)/C)/C)C,450.1936,518.2562,C20H36O7P2,C25H44O7P2,-68.0626,68.0626,22,(/+C5  /+H8)
C00353,C00448,CC(=CCC/C(=C/CC/C(=C/CC/C(=C/COP(=O)(O)OP(=O)(O)O)/C)/C)/C)C,CC(=CCC/C(=C/CC/C(=C/COP(=O)(O)OP(=O)(O)O)/C)/C)C,450.1936,382.131,C20H36O7P2,C15H28O7P2,68.0626,68.0626,22,(/-C5  /-H8)
C00329,C01075,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)N)O)O)O,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)NS(=O)(=O)O)O)O)O,179.0794,259.0362,C6H13NO5,C6H13NO8S,-79.9568,79.9568,21,(/+O3  /+S)
C00805,C00885,C1=CC=C(C(=C1)C(=O)O)O,C=C(C(=O)O)O[C@H]1C=CC=C([C@@H]1O)C(=O)O,138.0317,226.0477,C7H6O3,C10H10O6,-88.016,88.016,20,(/+C3  /+H4  /+O3)
C00092,C00093,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)OP(=O)(O)O,C([C@H](COP(=O)(O)O)O)O,260.0297,172.0137,C6H13O9P,C3H9O6P,88.016,88.016,20,(/-C3  /-H4  /-O3)
C00029,C00075,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,566.055,483.9685,C15H24N2O17P2,C9H15N2O15P3,82.0865,82.0865,19,(/+P  /-C6  /-H9  /-O2)
C00063,C19794,C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC3[C@H]([C@H](C([C@H]([C@@H]3O)O)O)O)O)O)O,482.9845,565.071,C9H16N3O14P3,C15H25N3O16P2,-82.0865,82.0865,19,(/+C6  /+H9  /+O2  /-P)
C15996,C16675,C1=C(C2=C(N1)NC(=NC2=O)N)C#N,C1=C(C2=C(N1)NC(=NC2=O)N)CN,175.0494,179.0807,C7H5N5O,C7H9N5O,-4.0313,4.0313,18,(/+H4)
C00272,C06313,C[C@@H]([C@@H]([C@H]1CNC2=C(N1)C(=O)N=C(N2)N)O)O,CC(C(C1=CN=C2C(=N1)C(=O)N=C(N2)N)O)O,241.1175,237.0862,C9H15N5O3,C9H11N5O3,4.0313,4.0313,18,(/-H4)
C16473,C16480,C1=CC(=C(C=C1F)O)O,C1=C[C@@]([C@H](C=C1F)O)(C(=O)O)O,128.0274,174.0328,C6H5FO2,C7H7FO4,-46.0054,46.0055,18,(/+C  /+H2  /+O2)
C00199,C15556,C([C@H]([C@H](C(=O)CO)O)O)OP(=O)(O)O,CC(=O)C(COP(=O)(O)O)O,230.0192,184.0137,C5H11O8P,C4H9O6P,46.0055,46.0055,18,(/-C  /-H2  /-O2)
C20239,C20248,C1C(NC2=C(N1)NC(=NC2=O)N)C(=O)O,C1=C(C2=C(N1)NC(=NC2=O)N)C(=O)O,211.0705,194.044,C7H9N5O3,C7H6N4O3,17.0265,17.0265,17,(/-H3  /-N)
C00894,C02335,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)C=C)O,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)CCN)O,821.1258,838.1523,C24H38N7O17P3S,C24H41N8O17P3S,-17.0265,17.0265,17,(/+H3  /+N)
C00109,C02488,CCC(=O)C(=O)O,CCC(CC(=O)O)(C(=O)O)O,102.0317,162.0528,C4H6O3,C6H10O5,-60.0211,60.0212,15,(/+C2  /+H4  /+O2)
C19698,C19699,C1=CC2=C(C(=C1)Cl)NC=C2C3=C(NC(=C3C4=CNC5=C4C=CC=C5Cl)C(=O)O)C(=O)O,C1=CC2=C(C(=C1)Cl)NC3=C4C(=C5C(=C23)C(=O)NC5=O)C6=C(N4)C(=CC=C6)Cl,453.0283,393.0072,C22H13Cl2N3O4,C20H9Cl2N3O2,60.0211,60.0212,15,(/-C2  /-H4  /-O2)
C00196,C04030,C1=CC(=C(C(=C1)O)O)C(=O)O,C1=CC(=C(C(=C1)O)O)C(=O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C3N=CN=C4N)O)O,154.0266,483.0791,C7H6O4,C17H18N5O10P,-329.0525,329.0525,15,(/+C10  /+H12  /+N5  /+O6  /+P)
C06397,C07838,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)O[C@H]4[C@H]([C@H]([C@@H]([C@H](O4)[C@@H](CO)O)O)O)O)O)O,C([C@H]([C@@H]1[C@H]([C@@H]([C@@H]([C@@H](O1)OP(=O)(O)O)O)O)O)O)O,619.0928,290.0403,C17H27N5O16P2,C7H15O10P,329.0525,329.0525,15,(/-C10  /-H12  /-N5  /-O6  /-P)
C00091,C00313,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)CCC(=O)O)O,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)C(=O)O)O,867.1313,839.1,C25H40N7O19P3S,C23H36N7O19P3S,28.0313,28.0313,14,(/-C2  /-H4)
C18033,C18034,C[C@@H]1[C@H](CC[C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H](C[C@@H](O2)N3C=C(C(=O)NC3=O)C)O)N,C[C@@H]1[C@H](CC[C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H](C[C@@H](O2)N3C=C(C(=O)NC3=O)C)O)N(C)C,515.107,543.1383,C16H27N3O12P2,C18H31N3O12P2,-28.0313,28.0313,14,(/+C2  /+H4)
C05689,C05695,C[Se]C[C@@H](C(=O)O)N,C[Se]CC(C(=O)O)NC(=O)CC[C@@H](C(=O)O)N,182.9799,312.0224,C4H9NO2Se,C9H16N2O5Se,-129.0425,129.0426,14,(/+C5  /+H7  /+N  /+O3)
C00692,C01212,C[C@@H](C(=O)N[C@H](CCC(=O)O)C(=O)O)NC(=O)[C@@H](C)O[C@@H]1[C@H]([C@H](O[C@@H]([C@H]1O)CO)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=O)NC3=O)O)O)NC(=O)C,C[C@@H](C(=O)O)NC(=O)[C@@H](C)O[C@@H]1[C@H]([C@H](O[C@@H]([C@H]1O)CO)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=O)NC3=O)O)O)NC(=O)C,879.1824,750.1398,C28H43N5O23P2,C23H36N4O20P2,129.0426,129.0426,14,(/-C5  /-H7  /-N  /-O3)
C16145,C16146,CC(=CCC/C(=C/C=C/C(=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C=C(C)C)/C)/C)C,CC(=CCC/C(=C/C=C/C(=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C=C(\C)/C(=O)O)/C)/C)C,402.3287,432.3028,C30H42,C30H40O2,-29.9741,29.9742,13,(/+O2  /-H2)
C00026,C00141,C(CC(=O)O)C(=O)C(=O)O,CC(C)C(=O)C(=O)O,146.0215,116.0473,C5H6O5,C5H8O3,29.9742,29.9742,13,(/+H2  /-O2)
C18251,C18252,C1=CC2=C3C(=C1)C(=O)C(=O)C4=CC=CC(=C43)C=C2,C1=CC2=C(C(=C1)C(=O)O)C3=C(C=CC=C3C(=O)O)C=C2,232.0524,266.0579,C16H8O2,C16H10O4,-34.0055,34.0055,13,(/+H2  /+O2)
C00818,C02670,[C@H]([C@@H]([C@@H](C(=O)O)O)O)([C@H](C(=O)O)O)O,C(=O)[C@@H]([C@@H]1[C@@H]([C@@H](C(=O)O1)O)O)O,210.0376,176.0321,C6H10O8,C6H8O6,34.0055,34.0055,13,(/-H2  /-O2)
C07649,C16634,C1=C(C(=O)NC(=O)N1)F,C1=C(C(=O)NC(=O)N1[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O)F,130.0179,342.0264,C4H3FN2O2,C9H12FN2O9P,-212.0085,212.0086,13,(/+C5  /+H9  /+O7  /+P)
C05674,C06459,C[N+](C)(C)CCP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=CC(=NC2=O)N)O)O,C[N+](C)(C)CCP(=O)(O)O,473.1202,168.079,C14H27N4O10P2,C5H15NO3P,305.0412,305.0413,13,(/-C9  /-H12  /-N3  /-O7  /-P)
C06456,C17945,C(=O)(O)P(=O)(O)O,C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(C(=O)O)O)O)O,125.9718,431.0131,CH3O5P,C10H15N3O12P2,-305.0413,305.0413,13,(/+C9  /+H12  /+N3  /+O7  /+P)
C00122,C02514,C(=C/C(=O)O)\C(=O)O,C(C(=O)/C=C/C(=O)O)C(=O)C(=O)O,116.011,186.0164,C4H4O4,C7H6O6,-70.0054,70.0055,12,(/+C3  /+H2  /+O2)
C00885,C04171,C=C(C(=O)O)O[C@H]1C=CC=C([C@@H]1O)C(=O)O,C1=C[C@@H]([C@H](C(=C1)C(=O)O)O)O,226.0477,156.0423,C10H10O6,C7H8O4,70.0054,70.0055,12,(/-C3  /-H2  /-O2)
C08604,C20490,C1=CC(=C(C=C1C2=C(C=C3C(=CC(=CC3=[O+]2)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O,C1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=C([O+]=C4C=C(C=C(C4=C3)O)O)C5=CC(=C(C=C5)O)O)CO)O)O)O)O)O,449.1084,581.1506,C21H21O11,C26H29O15,-132.0422,132.0423,12,(/+C5  /+H8  /+O4)
C20568,C20569,C([C@H]1[C@@H]([C@H]([C@H](O1)O)O[C@@H]2[C@@H]([C@H]([C@@H](O2)CO)O)O)O)O,C([C@H]1[C@@H]([C@H]([C@H](O1)O)O)O)O,282.0951,150.0528,C10H18O9,C5H10O5,132.0423,132.0423,12,(/-C5  /-H8  /-O4)
C00024,C00894,CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)C=C)O,809.1258,821.1258,C23H38N7O17P3S,C24H38N7O17P3S,-12,12,11,(/+C)
C11541,C11542,CC1C23C4=N/C(=C\C5=N[C@@](CC6=C([C@](/C(=C/C(=N2)[C@H]([C@@]3(CC(=O)O1)C)CCC(=O)O)/[N-]6)(C)CC(=O)O)CCC(=O)O)(C(=C5CCC(=O)O)CC(=O)O)C)/[C@](C4CC(=O)O)(C)CCC(=O)O.[Co+2],C[C@@]12CC3=C([C@](C(=N3)/C=C\4/[C@H]([C@]([C@@]([N-]4)(C5=C([C@@](C(=N5)CC(=N1)C(=C2CC(=O)O)CCC(=O)O)(C)CCC(=O)O)CC(=O)O)C)(C)CC(=O)O)CCC(=O)O)(C)CC(=O)O)CCC(=O)O.[Co+2],964.2789,952.2789,C45H53CoN4O16,C44H53CoN4O16,12,12,11,(/-C)
C02535,C18872,C[Se]C,C[Se+](C)C,109.9635,124.9869,C2H6Se,C3H9Se,-15.0234,15.0235,11,(/+C  /+H3)
C09581,C17591,C[N+]1(CCC2=CC(=C(C3=C2[C@@H]1CC4=C3C(=C(C=C4)OC)O)O)OC)C,CN1CCC2=CC(=C(C3=C2[C@@H]1CC4=C3C(=C(C=C4)OC)O)O)OC,342.1705,327.1471,C20H24NO4,C19H21NO4,15.0234,15.0235,11,(/-C  /-H3)
C01050,C01212,C[C@H](C(=O)O)O[C@@H]1[C@H]([C@H](O[C@@H]([C@H]1O)CO)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=O)NC3=O)O)O)NC(=O)C,C[C@@H](C(=O)O)NC(=O)[C@@H](C)O[C@@H]1[C@H]([C@H](O[C@@H]([C@H]1O)CO)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=O)NC3=O)O)O)NC(=O)C,679.1027,750.1398,C20H31N3O19P2,C23H36N4O20P2,-71.0371,71.0371,11,(/+C3  /+H5  /+N  /+O)
C03492,C18911,CC(C)(COP(=O)(O)O)[C@H](C(=O)NCCC(=O)O)O,CC(C)(COP(=O)(O)O)[C@H](C(=O)O)O,299.077,228.0399,C9H18NO8P,C6H13O7P,71.0371,71.0371,11,(/-C3  /-H5  /-N  /-O)
C00020,C06192,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)O[C@@H]4[C@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O,347.0631,589.0822,C10H14N5O7P,C16H25N5O15P2,-242.0191,242.0191,11,(/+C6  /+H11  /+O8  /+P)
C04507,C17556,CC(=CCC/C(=C/CC/C(=C/CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\COP(=O)(O)OP(=O)(O)O[C@@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)O)O)/C)/C)/C)/C)/C)/C)/C)/C)/C)/C)C,CC(=CCC/C(=C/CC/C(=C/CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\COP(=O)(O)O)/C)/C)/C)/C)/C)/C)/C)/C)/C)/C)C,1088.6847,846.6655,C61H102O12P2,C55H91O4P,242.0192,242.0191,11,(/-C6  /-H11  /-O8  /-P)
C00499,C00603,C(C(=O)O)(NC(=O)N)NC(=O)N,[C@H](C(=O)O)(NC(=O)N)O,176.0546,134.0328,C4H8N4O4,C3H6N2O4,42.0218,42.0218,10,(/-C  /-H2  /-N2)
