ID,m/z
1136,167.01288
1137,167.02153
1140,167.0699
1143,167.07011
1144,167.07011
1145,167.07027
1146,167.0703
1147,167.07339
1149,167.09241
1152,167.10654
1153,167.10654
1154,167.10654
1155,167.10654
1156,167.10655
1157,167.10657
1158,167.10658
1159,167.10661
1160,167.10663
1161,167.10663
1163,167.10667
1164,167.10667
1166,167.118
1167,167.11801
1170,168.06522
1174,168.08078
1178,168.10217
1179,168.11298
1180,168.11298
1181,168.12267
1183,168.5648
1184,169.00642
1185,169.03548
1188,169.05435
1189,169.05838
1190,169.07571
1193,169.08557
1194,169.08565
1195,169.09711
1201,169.12193
1203,169.12204
1207,169.12209
1209,169.12209
1212,169.12215
1216,169.12245
1219,169.15845
1220,169.97681
1221,169.97684
1223,169.97717
1225,169.97729
1226,169.97733
1229,170.03242
1231,170.05972
1232,170.05975
1233,170.05981
1234,170.05984
1235,170.05984
1236,170.05989
1237,170.05989
1238,170.05989
1242,170.09644
1246,171.01636
1247,171.06494
1253,171.11253
1255,171.14877
1256,171.14896
1258,171.14925
1259,171.14925
1267,172.09648
1268,172.09691
1276,172.95609
1283,172.97713
1294,173.09592
1296,173.09624
1298,173.11697
1299,173.12827
1304,173.13261
1309,174.05492
1311,174.05495
1312,174.05502
1314,174.09477
1315,174.11211
1316,174.11263
1317,174.11263
1318,174.12367
1319,174.12367
1320,174.1237
1328,175.02351
1329,175.04771
1330,175.04771
1331,175.07137
1334,175.07864
1335,175.08635
1337,175.10759
1338,175.10767
1339,175.1077
1340,175.11139
1342,175.11157
1343,175.11159
1344,175.1116
1345,175.1116
1346,175.1116
1347,175.1116
1348,175.11162
1349,175.11163
1350,175.11163
1351,175.11909
1352,175.14767
1353,175.14784
1356,176.05525
1357,176.07031
1358,176.07034
1361,176.07071
1363,176.08293
1366,176.12787
1370,177.05428
1373,177.05464
1375,177.09055
1376,177.09061
1377,177.09062
1380,177.09094
1381,177.09094
1382,177.09094
1383,177.09096
1385,177.09097
1386,177.09097
1387,177.09097
1388,177.09097
1389,177.09097
1390,177.09097
1391,177.09097
1392,177.09099
1393,177.09099
1396,177.09114
1398,177.09116
1405,177.1273
1412,177.57019
1415,178.04994
1416,178.05315
1417,178.0583
1418,178.0612
1419,178.08632
1421,178.10722
1422,178.10727
1424,178.10739
1431,179.06981
1433,179.06985
1435,179.07011
1436,179.07014
1437,179.07014
1438,179.07014
1440,179.07016
1445,179.07024
1448,179.07025
1457,179.08553
1459,179.10623
1460,179.1066
1467,180.06535
1468,180.07253
1470,180.08078
1471,180.0863
1472,180.08769
1473,180.08771
1474,180.08772
1476,180.10149
1477,180.10152
1478,180.10178
1481,180.10197
1484,180.13821
1485,180.17461
1491,181.01422
1494,181.0648
1495,181.08574
1497,181.08582
1498,181.08583
1499,181.08591
1500,181.08592
1501,181.08595
1502,181.09691
1503,181.09695
1506,181.10844
1507,181.10844
1510,181.12224
1511,181.12224
1513,181.12225
1517,181.96167
1523,182.08122
1524,182.08131
1525,182.08138
1529,182.1904
1530,182.9621
1531,182.98476
1533,182.98482
1535,182.98511
1537,182.98512
1538,182.98512
1539,182.98514
1540,182.98515
1541,182.9852
1542,182.98521
1544,182.98524
1545,182.98524
1546,182.98524
1547,182.98528
1548,182.98528
1553,183.06497
1554,183.07777
1558,183.10147
1560,183.10156
1561,183.10159
1563,183.10159
1571,183.13802
1576,184.0724
1577,184.07246
1579,184.07257
1581,184.07323
1582,184.07573
1583,184.09415
1584,184.09653
1597,185.032
1600,185.08064
1604,185.11691
1606,185.11702
1607,185.11703
