id,rt,mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Manually modified for quantification,Manually modified for annotation,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,sample_KN,sample_KX,sample_MEOH3,sample_SJ,sample_SJ_N,sample_SJ_X,matched_parent_mz,delta_Da
1089,6.533,165.06422,w/o MS2:Ricinine,[M+H]+,found in higher mz's MsMs_2513,0.167,True,2.725,165.0659,C8H8N2O2,3-pyridinecarbonitriles,PETSAYFQSGAEQY-UHFFFAOYSA-N,CN1C=CC(=C(C1=O)C#N)OC,530,True,True,False,False,False,68.3,99.9,,,,6.07,KN,165.06422:4610135 166.06757:1545175 167.07093:590897,58.26621:2609 66.03425:2647 67.05453:5220 70.06571:2987 73.02878:28799 74.03195:11641 75.03325:25023 79.05452:4118 80.04968:3212 81.07068:5466 83.06078:6556 83.93045:8954 91.05465:11885 93.06999:4022 95.04832:8297 95.08612:5057 96.05542:3012 101.94085:3563 105.07012:5702 107.04948:6198 107.06005:21738 108.04369:6072 109.06478:3010 109.10043:4371 110.0347:3644 116.07027:7088 118.07512:9839 119.08537:8258 120.04291:18136 120.08118:8652 121.05037:3134 121.06553:6529 122.05948:5025 123.04241:4107 123.08125:3195 124.08715:16205 130.89192:2606 137.05911:6604 138.71432:2417 142.96664:31980 147.05305:3458 147.08011:6816 147.09195:3442 148.03712:3724 148.08688:14270 164.05672:12331 164.07066:8951 164.10663:3456 165.0638:158706 165.09192:10972 165.11404:10055,4610135,404615,393613,419280,1928082,421717,,
1090,3.7,165.06567,w/o MS2:Ricinine,[M+H]+,,0.333,True,2.725,165.0659,C8H8N2O2,3-pyridinecarbonitriles,PETSAYFQSGAEQY-UHFFFAOYSA-N,CN1C=CC(=C(C1=O)C#N)OC,530,True,True,False,False,False,68.8,100.0,,,,3.71,SJ_X,165.06567:1646606 166.06902:0 167.07238:695606,55.93499:2079 57.07035:2677 59.04939:2199 60.3178:2067 60.33691:2369 67.05468:7473 68.4025:2162 69.03401:2547 70.06588:7451 70.48096:2325 72.93774:2590 73.02883:42247 74.03223:12907 75.0333:33265 76.03638:2961 79.0547:3814 80.04987:2985 81.07018:7318 90.94784:3150 91.055:12943 93.0702:6719 95.04942:9791 95.08634:3563 100.73856:2681 103.03918:6595 103.05406:3362 105.07037:5960 107.04973:2937 107.06023:5529 108.04501:5805 109.10177:5523 110.06014:3106 116.07054:10596 118.07539:11638 118.96742:3970 119.04991:4048 119.08564:11274 120.04403:5379 120.08146:11011 121.06455:5767 123.04399:9308 123.08024:2978 124.08736:10570 137.05943:9952 137.07008:6120 137.09596:7936 142.96725:12720 147.04494:3753 147.05508:5403 147.08044:6464 148.06308:2914 148.08701:2581 150.04291:12399 164.04514:3966 164.07104:3510 165.06004:9615 165.06609:53274 165.09029:6111 165.12852:4687,958551,1562372,188795,62731,379978,1646606,,
1096,15.383,165.09071,Phenethylacetate,[M+H]+,similar chromatogram in higher mz_3545; similar chromatogram in higher mz_3998; similar chromatogram in higher mz_12018; found in higher mz's MsMs_4062,0.333,True,1.022,165.091,C10H12O2,Benzene and substituted derivatives,MDHYEMXUFSJLGV-UHFFFAOYSA-N,O=C(OCCC=1C=CC=CC1)C,430,True,True,True,False,False,80.0,99.0,64.3,74.4,78.6,31.8,KX,165.09071:13915472 166.09406:3555278 167.09742:1425358,53.03939:3658 55.05488:10004 59.06101:8686 66.03457:20956 67.05482:61360 70.06587:8719 73.0289:42427 74.03244:14721 75.03287:32746 79.0547:9880 80.04987:3053 81.07039:20426 83.04949:13024 83.06109:28696 83.92992:8088 91.05498:23500 93.0702:9393 95.04942:10092 95.08546:8994 100.02515:4012 101.94108:3730 105.07036:3860 107.04868:8944 107.06033:137209 108.045:6049 108.06311:6548 109.06503:4607 109.10183:56649 116.07054:9271 118.07539:8129 119.08574:48755 120.08036:36206 121.06454:6605 122.07265:38730 123.05564:6191 123.08024:5031 124.0874:86774 125.07106:3341 137.05943:6730 137.09601:148152 138.10007:5854 142.96672:37229 147.08044:5519 148.08698:72569 149.09018:2952 164.08109:5423 164.10501:4219 165.06816:15060 165.09032:371098 165.11063:40437,1133071,13915472,495104,316732,818008,11874486,,
1097,13.43,165.09077,w/o MS2:Eugenol,[M+H]+,found in higher mz's MsMs_2155,0.167,True,,165.091,C10H12O2,Methoxyphenols,RRAFCDWBNXTKKO-UHFFFAOYSA-N,C=CCc(c1)cc(OC)c(O)c1,530,True,True,False,False,False,65.2,,,,,25.9,SJ,165.09077:5912055 166.09412:1904344 167.09748:230556,53.95777:2073 59.06099:6732 65.76803:2457 66.0344:19272 67.05466:4096 67.7669:2311 73.02878:6004 73.28929:2342 74.91338:2565 75.03343:5593 79.05467:2860 81.14496:2388 83.06086:25326 83.92989:7852 85.94596:2564 91.05483:6689 91.46988:2552 97.76271:2305 103.05403:5004 105.07033:9034 105.90461:2441 107.06028:110561 108.0439:2442 109.06499:4557 109.0758:2855 116.0705:3906 117.45725:2807 119.0856:6738 119.9505:3808 120.08146:16883 123.0802:3165 124.08729:76581 125.07102:3755 131.04996:2668 132.05299:5359 133.0647:2814 137.05939:4736 142.96689:31053 147.0804:3767 148.08687:53874 149.09013:4789 152.49123:2727 164.07904:3902 165.09023:8746 165.11426:26876,608693,522908,586269,5912055,587816,861756,,
1098,9.935,165.09082,Phenethylacetate,[M+H]+,found in higher mz's MsMs_6876; found in higher mz's MsMs_6430; found in higher mz's MsMs_3150; found in higher mz's MsMs_3133,0.167,True,1.022,165.091,C10H12O2,Benzene and substituted derivatives,MDHYEMXUFSJLGV-UHFFFAOYSA-N,O=C(OCCC=1C=CC=CC1)C,430,True,True,True,False,False,80.3,99.6,57.9,81.8,85.7,4.0,KN,165.09082:4391126 166.09417:1131344 167.09753:1334843,55.05514:3627 55.6704:2154 63.94483:2229 65.03908:2495 66.03425:7662 66.14992:2507 67.05513:20415 69.03385:2986 70.06571:6856 73.02924:24009 74.03195:7554 75.03321:24121 79.05451:10176 81.07075:13877 82.71013:2438 83.05002:5277 83.06093:13008 83.93045:5391 89.45527:2208 91.05463:27307 93.06999:8253 93.92389:2831 95.04392:2483 95.0492:6027 95.08612:11782 101.09886:2514 103.05481:2699 105.07011:20901 107.04948:6291 107.06111:47205 107.0852:5068 108.04475:5220 109.06478:4469 109.07558:3641 109.10135:20300 116.07145:6172 117.07046:3628 118.06538:3996 118.07511:7344 119.08537:42370 119.9515:3723 120.08126:13500 120.22106:2611 121.06426:5495 121.10091:5432 122.07226:7291 123.04371:3449 123.05536:3183 123.0803:12404 124.08718:31237 136.07535:5819 137.06064:5882 137.09557:51556 138.09975:4348 142.96649:25582 147.08011:11894 148.08632:24649 164.07079:16211 165.09177:76988 165.11404:11385 165.12813:8061,4391126,752223,608859,350256,2772574,618330,,
1099,11.242,165.09084,Phenethylacetate,[M+H]+,found in higher mz's MsMs_1563,0.333,True,1.022,165.091,C10H12O2,Benzene and substituted derivatives,MDHYEMXUFSJLGV-UHFFFAOYSA-N,O=C(OCCC=1C=CC=CC1)C,430,True,True,True,False,False,81.5,99.5,65.8,75.2,85.7,12.38,SJ_N,165.09084:13175930 166.09419:2515192 167.09755:1374209,53.03927:3933 55.05474:12064 65.03907:8301 66.03476:6397 67.05515:166183 68.05814:4853 69.03439:6144 69.0703:4043 70.06571:4260 73.02868:26465 74.03195:11229 75.03318:24315 79.05458:20265 81.07006:53057 83.06078:10656 83.93045:6603 91.05471:42367 93.0701:47766 95.04929:163849 95.08617:39373 96.05273:5498 100.02491:3033 101.94084:2587 105.07027:13738 107.04947:5281 107.06113:51224 107.08547:19141 108.04475:2973 109.06495:13274 109.10157:139861 110.10478:9271 111.04424:8166 114.21206:2895 116.07026:8221 117.06925:5083 118.0751:5584 119.08549:57605 120.08117:10182 121.10134:15223 123.0437:3689 123.07995:6682 124.08713:42547 129.07063:4067 132.05705:3803 137.06062:7242 137.09567:290894 138.09978:18144 142.96655:21771 147.08023:38767 148.08659:26815 149.18655:2737 165.06776:3297 165.08997:70611 165.11269:13348,4748712,632787,540500,382029,13175930,999049,,
1100,10.253,165.09084,w/o MS2:Phenethylacetate,[M+NH4]+,adduct linked to 4538_[2M+H]+,0.333,True,1.022,165.091,C10H12O2,Benzene and substituted derivatives,MDHYEMXUFSJLGV-UHFFFAOYSA-N,O=C(OCCC=1C=CC=CC1)C,530,True,True,False,False,False,79.2,99.6,,,,6.92,KN,165.09084:8190083 166.09419:2051890 167.09755:1755925,53.03926:6806 55.01835:8939 55.0548:13805 57.03425:3002 65.03907:3372 66.03425:8666 67.05505:39847 69.03384:5975 70.06571:6603 73.02871:32952 74.03195:6377 75.03316:19022 79.05457:48901 80.05035:3577 80.05851:3550 80.06258:11851 81.034:6805 81.07011:26061 83.06076:16193 83.92972:6456 91.05469:175212 92.05822:9398 93.07:66188 94.0734:3372 95.04932:32913 95.08625:36374 97.065:10446 103.05491:13277 104.06218:7082 105.04458:7265 105.07027:70513 107.04959:18547 107.06099:45330 107.08519:5554 108.04474:6174 109.06477:6586 109.10155:36747 111.04424:2865 116.07026:5137 117.06935:30045 118.0751:4551 119.0854:258643 119.95149:3083 120.07992:8266 120.08865:12099 121.06425:4151 121.10066:13995 123.04369:8334 123.05534:3324 123.07996:30403 124.08736:32501 129.06924:5521 132.05704:6338 133.6823:2690 137.05911:4009 137.09563:75388 138.09975:4107 142.96652:21186 147.08006:76320 148.08659:29822 164.06866:3313 164.10461:3435 165.09006:49418 165.11377:14821,8190083,713632,614063,403427,3568718,638805,,
1101,11.767,165.09085,Phenethylacetate,[M+H]+,found in higher mz's MsMs_6877; found in higher mz's MsMs_6431; found in higher mz's MsMs_5888; found in higher mz's MsMs_3993; found in higher mz's MsMs_3151,0.333,True,1.022,165.091,C10H12O2,Benzene and substituted derivatives,MDHYEMXUFSJLGV-UHFFFAOYSA-N,O=C(OCCC=1C=CC=CC1)C,430,True,True,True,False,False,81.9,99.4,64.6,78.8,85.7,14.52,SJ_N,165.09087:6806780 166.09422:1787177 167.09758:928557,55.05514:2527 57.66398:2269 59.0613:2518 66.0343:14452 67.05512:25464 70.06571:4381 73.02873:24215 74.03195:8214 75.03319:28017 76.22014:2316 77.82065:2455 77.96668:2453 79.05452:7018 81.0701:13009 83.0493:5409 83.06093:13787 83.93045:10269 89.39192:2464 91.05479:38624 93.06999:7413 95.0492:6479 95.08612:4983 103.05481:4272 105.07012:6295 107.04948:7561 107.06117:57203 109.06478:3247 109.10167:23795 116.07027:6341 117.06926:6571 118.07512:7330 119.08535:49419 119.95026:6327 120.08118:7872 121.06553:4637 122.07229:15550 123.05536:3719 124.03858:3063 124.08708:39653 129.06926:3089 137.05911:6460 137.09579:55822 142.96667:28629 147.08005:43327 147.11732:5390 148.08673:43643 164.0827:4379 165.0919:140868 165.11223:12506,14484605,967230,580699,713184,6806780,828260,,
1102,9.448,165.09085,w/o MS2:Phenethylacetate,[M+H]+,,0.167,True,1.022,165.091,C10H12O2,Benzene and substituted derivatives,MDHYEMXUFSJLGV-UHFFFAOYSA-N,O=C(OCCC=1C=CC=CC1)C,530,True,True,False,False,False,75.7,99.6,,,,6.94,KN,165.09085:6020671 166.0942:1449225 167.09756:897424,53.03927:6558 55.01874:7137 55.05475:7917 57.03425:2678 66.03425:11121 67.05503:21767 70.06571:6022 71.04984:3815 72.04498:6220 73.02931:30330 74.03255:7792 75.03335:20257 76.03619:2832 79.05452:44299 80.06258:8259 81.034:4200 81.07074:27859 83.04929:5337 83.06078:7626 83.93045:4532 88.56256:2549 91.05467:132588 92.05823:2825 93.06994:57161 94.0734:3133 95.04923:25526 95.08631:18416 97.065:10071 99.04459:4882 100.15976:2682 103.05481:6096 105.0456:3508 105.0701:57962 106.0741:4946 107.04962:33335 107.06094:49474 108.04475:5603 109.06477:7561 109.1015:10458 111.79597:2961 116.07145:6369 117.07023:24520 118.07511:8708 119.04962:4568 119.08538:223071 119.95149:3826 120.05746:3374 120.08117:7359 120.08866:8895 121.06563:13043 121.1009:8041 123.04367:29034 123.07992:32553 124.08715:28811 129.07063:4687 132.05705:7012 137.05911:7768 137.09544:19372 142.96637:21769 147.08005:63002 147.11732:3289 148.08672:27892 165.09172:31713 165.11369:12468,6020671,723286,600340,419911,2962620,617503,,
1103,8.249,165.09087,w/o MS2:Phenethylacetate,[M+H]+,,0.167,True,1.022,165.091,C10H12O2,Benzene and substituted derivatives,MDHYEMXUFSJLGV-UHFFFAOYSA-N,O=C(OCCC=1C=CC=CC1)C,530,True,True,False,False,False,77.8,99.7,,,,2.83,KN,165.09087:2512438 166.09422:1347597 167.09758:626730,57.74171:2479 61.56457:2202 66.03425:6422 67.05505:11509 70.06571:5550 73.02887:23997 74.03263:12040 75.03328:26967 79.05452:5192 81.07068:7875 83.06079:6006 83.93045:6221 86.8068:2635 91.05475:22412 93.06999:5226 95.0492:3842 95.08612:3093 101.94085:3398 105.07012:5221 107.04948:3340 107.06111:33220 108.04476:3518 109.06478:3662 109.10151:9618 112.40378:2796 116.07027:8409 118.07512:7535 119.08543:22515 119.59846:2709 119.95151:3631 120.04375:3599 120.08118:10297 121.06427:4757 122.07227:6266 123.07996:3758 124.08721:32003 137.05911:4110 137.09554:24237 138.05513:3925 142.96658:24954 147.08011:10449 147.11734:2925 148.08659:12568 149.96376:2438 165.06778:4077 165.0899:80021 165.11349:13333 165.12611:5066,2512438,728752,688254,502952,1280058,648625,,
