ID,m/z,Rt(min),Metabolite name,Adduct type,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,MS/MS matched,Total score,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,KF,YF,KN,YN,KX,YX
4273,395.3162,19.053,Unknown,[M+H]+,null,null,null,null,null,FALSE,null,43.12,YF,395.31616:20007618 396.31951:6249759 397.32287:5922924,53.00275:7635 55.01845:6616 55.05491:54934 57.03435:6356 57.07079:207684 65.03919:5436 67.05467:52179 69.03396:7976 69.07045:74998 71.08639:147875 72.08166:4080 79.05469:43025 81.07018:91478 83.04944:6969 83.08619:54361 85.02922:6222 85.10142:80456 86.09669:33285 91.05472:43582 93.0702:81446 94.07357:5549 95.04936:16436 95.08633:62638 97.06517:11845 97.10155:28940 99.11678:6204 102.66422:4495 105.07024:48475 105.95835:4246 107.04966:7130 107.08536:79162 109.06496:17753 109.10162:46256 111.07996:4661 111.1166:13605 113.9638:4475 115.021:33181 115.08655:6325 117.06946:12019 119.08558:49690 121.06447:14725 121.10103:41958 122.0955:5691 123.04392:8749 123.08008:25447 123.11643:11297 125.05904:6010 125.13335:4503 129.06947:7016 130.06531:13231 131.00014:6967 131.08565:35561 132.04721:4760 132.10191:17887 133.0632:6225 133.10101:26291 135.04431:10059 135.08031:21052 135.11697:24260 137.05962:38416 137.09589:7938 137.13242:8976 139.07471:8991 141.05539:9645 143.08524:9129 145.10062:34617 147.11754:23562 149.05853:26045 149.09528:11568 149.13306:19139 151.07605:40381 153.09119:9087 155.06996:6781 157.10049:12748 159.07973:11543 159.11627:23053 161.13344:14538 163.075:33086 163.11253:12801 163.14812:13194 165.09052:21066 167.03635:8621 167.07117:6321 169.08594:10144 171.11826:6215 173.09677:12527 173.13133:11378 175.14929:6797 177.09026:25757 177.12669:9562 177.16248:7492 179.10596:4743 181.08623:9686 185.13229:5774 187.11165:10695 187.14806:7951 189.00456:10586 189.16484:4775 191.10661:16673 191.14169:6540 191.17931:5849 195.13792:5135 197.20152:12941 199.1487:4947 201.12756:9245 201.16273:6318 203.0208:7043 203.17732:5973 205.12193:13396 205.15816:5921 209.11592:5636 209.1532:6365 215.17805:8288 219.13821:13874 223.13281:9704 229.15996:5345 229.19286:4250 231.3968:4534 233.15256:15284 237.14648:9538 243.2103:4289 247.17151:8806 251.16232:6457 261.18408:7158 273.53427:4360 275.19794:6853 289.25235:7872 303.23148:4885 326.10699:4480 335.16483:23970 336.16864:15901 353.17996:29595 354.18088:15852 355.17639:27039 359.29251:14772 376.19354:6543 377.19888:6095 377.3031:11591 394.20441:6229 394.34546:6775 395.27542:53970 395.36981:27478,123609,20007618,28286,0,0,0
4316,396.3115,17.804,Unknown,[M+H]+,null,null,null,null,null,FALSE,null,315.87,YF,396.31152:210543424 397.31487:72288832 398.31823:10568392,55.05491:388320 57.03442:229142 57.07072:44473 58.06605:45549 59.07388:21174 60.0817:842652 67.05466:313355 69.07047:493787 70.06582:21424 79.05468:113601 81.07013:364427 83.08608:225337 84.081:73171 85.0292:7396873 86.03212:135609 86.0972:119004 91.05471:97082 93.07008:142842 95.08625:322720 97.1013:111312 103.03911:21507 105.07018:101145 107.08546:76762 109.10175:128021 111.1177:26875 119.08536:105283 121.1011:71352 123.11771:44379 129.07919:39248 132.10188:57762 133.10104:68987 135.11725:70352 137.09587:27716 137.13242:37679 143.08522:26555 144.10179:226223 145.1011:27731 147.11757:67138 151.14825:20759 153.12711:23230 157.05006:29561 157.10234:28763 159.11777:27516 161.13342:38235 175.14928:21824 185.13228:21888 204.58527:21493 217.19421:78279 235.20517:50288 337.24084:30355 396.26834:64502 396.31323:3148399,1892892,210543424,24072,0,938458,16792670
4391,398.3263,18.179,Unknown,[M+H]+,null,null,null,null,null,FALSE,null,304.97,YF,398.32626:94638256 399.32961:29448220 400.33297:4659943,55.05486:179904 57.03438:184848 57.07079:89488 58.06564:23197 59.07345:24035 60.08127:628673 67.05471:106579 69.07039:382320 70.06583:23730 71.08575:53347 79.05465:52214 81.07019:151077 83.08605:215527 84.08107:88104 85.0292:5910074 85.10139:23865 86.03189:79713 86.09725:48771 87.09991:22571 88.07627:18774 91.0548:26929 91.39192:19441 93.07019:85489 95.08625:111284 97.06517:32128 97.10141:130052 105.0703:31597 107.08643:70022 109.10169:57775 111.1166:52159 119.40664:18388 121.10111:65736 123.11643:19958 125.09618:17829 129.07921:21878 135.11726:60781 144.10172:200382 145.1011:25019 149.097:20284 149.13326:27871 157.0482:24809 159.11588:20038 173.13348:22852 219.21205:30142 237.21922:42885 281.3786:18079 339.25226:159395 397.30283:22970 398.32617:2303916,3016214,94638256,0,0,3146196,15838568
4394,398.3768,19.331,Unknown,[M+H]+,null,null,null,null,null,FALSE,null,107.25,YF,398.3768:31532940 399.38015:9076676 400.38351:1267246,55.05499:58413 57.07046:39149 67.05486:91703 69.07061:99681 70.06589:67257 71.08576:29005 77.03897:9715 79.05465:34532 81.07026:136283 83.0862:48926 91.055:75572 93.07026:99302 95.04936:20419 95.07309:18840 95.08557:151628 96.08161:96740 97.10146:25950 100.07539:13330 103.054:19520 105.07049:111579 105.50573:9894 107.07277:9952 107.08575:66593 108.0815:67037 109.08981:9654 109.10187:69521 110.09636:508355 111.09994:20065 119.08555:65937 121.06459:183898 121.10126:52817 122.06864:17754 122.09686:645469 123.11643:24432 129.06947:11394 131.08549:37223 133.10159:43049 135.08005:16296 135.1172:41206 136.07559:11474 136.11189:160789 138.09074:20937 145.1011:42085 147.11604:57767 149.09528:15089 149.13155:23487 155.08461:21094 157.10049:17656 159.11588:21315 161.09659:14506 161.13148:39255 171.11613:10252 175.14929:18319 363.30423:11861 381.31677:64318 398.35632:310211 398.37894:1611338,23354,31532940,55483,7250,18250,57919
4541,402.2855,14.247,"w/o MS2:[4,5-dihydroxy-3,4-bis(hydroxymethyl)-4a,8,8-trimethyl-5,6,7,8a-tetrahydro-1H-naphthalen-1-yl] hexanoate",[M+H]+,402.285,C21H36O6,Fatty acid esters,PBKUOHTZGOWWBK-UHFFFAOYSA-N,O=C(OC1C=C(CO)C(O)(CO)C2(C)C(O)CCC(C)(C)C12)CCCCC,FALSE,99.9,24.29,YF,402.28549:21235822 403.28884:5967476 404.2922:1004074,55.05503:28192 57.03436:5028 57.07046:36604 60.08137:51380 67.05479:69919 69.07055:33385 71.04997:8525 71.08638:45622 72.08109:4836 76.6194:3772 79.0548:47292 81.07025:147599 83.05017:8188 83.08607:17100 84.08102:8734 85.02855:60265 85.06493:6478 85.10129:21135 91.05494:16917 93.07026:70974 95.04937:6122 95.08551:142077 96.08953:5578 97.06518:10166 97.10147:11868 99.08124:6536 103.03913:4069 105.07031:14236 107.0855:49469 109.06497:4850 109.10171:14472 111.08108:8451 117.06947:5316 119.08558:11789 121.10114:60942 122.10447:5484 123.11644:5818 125.09487:4032 127.68049:3871 131.08551:11886 133.10107:7825 135.11728:8848 137.13245:37964 141.05222:4156 143.08525:8234 144.10161:17336 145.10114:11420 147.1176:8369 148.90211:4386 155.14328:41777 157.10049:11086 159.11589:7321 163.14832:36922 169.10054:6760 171.11613:4072 181.15788:15495 199.17004:7831 209.13028:4837 213.73947:3971 241.17998:7008 325.19861:11899 385.23816:6331 401.26755:5667 402.28333:312017,4507191,21235822,454287,1923004,1915,1163203
4612,404.3151,13.221,Unknown,[M+H]+,null,null,null,null,null,FALSE,null,12.55,YF,404.31506:6813338 405.31841:2511950 406.32177:349729,55.05485:9391 67.05465:15843 69.07043:8371 70.06596:34204 79.05466:13169 81.07024:31356 83.04945:5530 83.08607:3603 85.06493:7721 91.05483:21913 93.07022:28594 95.08631:32759 96.08149:11525 105.07032:37450 107.04968:4634 107.08541:31751 108.08117:4522 109.10171:13364 110.32555:3658 117.06947:6527 119.08568:19069 121.06449:9055 121.1011:22725 122.0968:7905 129.0695:5867 131.08553:14779 133.10056:19612 135.08006:3945 135.11783:17755 143.08525:11319 145.10106:22257 147.1176:9363 149.13329:4443 157.10054:16502 159.1178:11757 161.13152:5373 163.1106:6510 171.11615:7169 173.0968:7408 173.13351:9986 177.09319:4211 177.12672:4282 181.10011:4521 185.13472:6120 203.60097:4111 207.11723:3873 207.13702:4178 215.45374:3787 225.16324:3610 227.14352:4126 253.15973:5463 268.18274:6538 286.19409:18851 321.35126:3631 332.25766:10109 351.23483:13322 367.23016:5400 369.24048:12694 385.23816:8359 386.30899:76709 387.25381:44403 387.31161:12659 394.63531:3564 404.3186:373232,88956,6813338,0,1525,0,0
4613,404.3152,13.029,Unknown,[M+NH4]+,null,null,null,null,null,FALSE,null,17.95,YF,404.31516:9420371 405.31851:3360332 406.32187:793691,55.05485:15603 58.06565:4232 67.05479:20832 69.07043:5406 70.06594:46751 72.08167:4397 79.05466:15098 81.07023:36994 83.04945:4764 84.08102:3759 85.06493:11472 91.05527:19064 93.07022:40128 95.04937:7702 95.0855:40860 96.08059:8128 97.06518:6602 99.08124:4950 105.07045:47114 107.08533:35340 108.08117:8184 109.06497:8206 109.10171:11726 110.09732:5262 117.07067:8171 119.08535:21087 121.06448:11568 121.10146:20815 122.09679:11341 123.11774:5742 123.42795:3915 131.08562:17969 133.10117:24738 135.11761:17034 136.11174:3741 140.118:4246 143.08525:12859 145.10114:16693 147.11591:11445 147.66231:3729 155.08463:5913 157.10051:9823 159.1163:16677 159.90875:4567 161.0966:6395 161.13345:4883 163.11256:3941 169.10054:3990 171.08006:4810 171.11613:4196 173.09679:13970 173.13135:5487 175.11194:8016 177.12672:13270 183.11606:6857 185.13232:9143 185.90633:4241 195.11726:7108 195.13794:4349 197.13329:6417 199.14873:9882 211.14955:5073 213.12737:4129 223.14865:6648 225.12479:4893 227.14351:4669 237.16382:5190 237.44463:3792 253.15971:5267 268.18274:8878 286.19315:6845 332.25815:19391 333.2189:4632 351.22858:11623 367.23013:5148 368.23325:7088 369.24069:19581 385.23816:4036 386.30154:167870 387.25378:37866 387.31161:18519 403.24918:6891 404.31857:529895,144619,9420371,0,8348,0,0
4801,409.3318,19.102,Unknown,[M+H]+,null,null,null,null,null,FALSE,null,137.99,YF,409.33179:70653808 410.33514:24148604 411.3385:5140435,53.00275:10739 53.8493:6715 55.05491:92273 57.03436:13842 57.07081:251599 59.04979:7532 59.42769:6819 67.05481:88665 69.07057:107742 70.60059:8467 71.0864:143363 72.89755:8366 78.4878:9037 79.05466:33360 81.07019:112925 83.04945:8829 83.08607:55059 85.1016:99411 86.09651:16237 91.05481:33857 93.07029:71463 95.04937:12978 95.08623:126136 97.10147:40196 99.11679:15063 105.07029:54205 107.0853:66867 109.1015:62729 111.04445:23296 111.11662:13756 117.06947:9867 119.08549:43643 121.06448:11618 121.10123:45917 123.04393:268881 123.08018:9739 123.11644:23975 131.08551:22064 133.10107:27230 134.8288:8709 135.08005:36223 135.11728:28425 137.05937:40706 137.09589:9483 137.13245:10842 139.07474:10600 142.93929:8841 145.10114:36862 147.08038:12920 147.11591:18676 149.05869:54922 149.09529:17524 149.13155:22475 151.07602:102763 157.10051:17253 159.07974:13097 159.1178:15587 161.13345:9181 163.07506:86339 165.09001:77430 173.13351:14039 177.09091:73000 179.10597:28913 183.11841:10306 187.10924:10484 187.14809:15399 188.81992:8822 191.10664:31745 193.12183:11698 195.10175:9640 201.12758:19761 205.12195:19540 215.14217:9989 219.13823:23426 227.98669:9681 233.15257:10653 237.14996:12127 247.17152:14526 275.19797:10666 373.31097:26697 391.31808:179153 392.32578:32127 408.35785:9361 409.34567:25498 409.38495:13872,1702617,70653808,0,0,28592,242975
4803,409.3456,18.716,w/o MS2:CHOLESTEROL,[M+H]+,409.34406,C27H46O,Cholesterols and derivatives,HVYWMOMLDIMFJA-DPAQBDIFSA-N,OC1CC2=CCC3C(CCC4(C)C(CCC34)C(C)CCCC(C)C)C2(C)CC1,FALSE,66.9,451.01,YF,409.34561:119759464 410.34896:50310660 411.35232:12428686,50.35208:18440 55.05495:209198 57.07072:74588 60.0814:77895 65.03919:28401 67.05471:306205 69.07048:240014 71.08632:34838 79.05461:172696 81.07017:668386 83.04943:39641 83.08603:160435 85.06491:22975 86.09725:24223 91.05477:143464 93.07014:351851 95.05023:30696 95.08627:765764 97.06521:101952 97.10149:142491 99.08123:16084 103.05498:17068 105.07023:404371 107.04965:24338 107.08534:508621 109.06495:33219 109.10162:590800 111.08106:55267 116.10723:18937 117.07065:45692 119.08547:507928 121.10094:430932 123.11638:215971 125.09618:33458 129.07086:25326 130.07796:20071 131.08539:166123 133.10085:349108 135.11717:210918 136.11925:19808 137.13242:50794 139.11189:254330 140.11482:18611 143.08545:98444 144.09361:23643 145.10094:313961 147.11742:197942 149.13312:182468 157.10046:94808 159.11752:312473 161.13309:248815 163.11253:58096 163.14812:143528 165.1284:33670 165.16463:55461 169.10051:33765 171.11612:88343 173.13297:162349 175.14883:217384 177.12669:52112 177.16414:194283 178.16631:23357 181.10007:18732 183.11601:37366 183.37009:15948 185.13228:97984 187.14743:202513 189.12782:24159 189.16402:158873 191.1442:27462 191.17929:71301 193.15997:25605 197.13324:47362 199.1479:93803 201.16234:268327 202.16759:28074 203.17921:128995 205.15814:72796 205.19437:25751 211.14951:36191 213.1618:78146 215.18034:145948 217.16125:23320 217.19466:51361 219.17484:132705 225.16319:24988 227.17812:91346 229.19614:43694 231.17331:48535 231.20998:54733 239.17851:17252 241.19292:79573 243.21028:46082 245.18837:106527 253.19406:23820 255.2119:41819 257.22656:47670 259.20499:114888 267.21075:27354 269.22696:45982 271.24066:29351 273.22134:25650 281.22647:32140 283.24088:26842 285.21762:31909 295.24072:65313 299.23535:23021 309.25876:26805 313.25287:63093 327.26608:41324 339.27042:62145 351.30344:42817 359.13754:21265 391.33395:142625 409.34567:998408,487832,119759464,0,0,0,0
4908,412.3054,16.83,Unknown,[M+H]+,null,null,null,null,null,FALSE,null,38.24,YF,412.30536:36153144 413.30871:15781430 414.31207:2828103,55.05496:46310 57.03446:35504 58.06606:13891 59.07389:11175 60.08126:127964 67.05467:108946 69.07047:51486 79.05466:67455 81.07014:108734 83.08606:22319 84.08102:14163 85.02922:1126180 85.06492:9260 86.03214:23567 91.05467:32494 93.07015:92551 95.04936:11653 95.08623:89525 97.06518:13467 103.03912:9486 105.07018:43684 107.08649:49910 109.10177:49525 117.07066:7955 119.08498:33670 121.10105:66096 123.11644:16300 129.06949:7127 131.08551:21469 133.10106:25307 135.11726:23918 143.08524:19472 144.10182:44141 145.04974:27905 145.10062:35662 147.11591:22284 149.09702:9627 149.13327:12599 157.10049:14161 159.11699:28819 161.13152:14945 169.10052:7860 171.11613:7969 173.1335:15053 178.1776:6530 185.13231:10105 187.14807:7278 191.17931:16779 197.13327:9559 199.14604:6982 213.16277:12882 371.21985:8784 393.27814:9230 395.29779:13128 411.29251:20894 412.30704:597953,4901410,36153144,0,21122,0,859219
4914,412.3784,18.931,Unknown,[M+H]+,null,null,null,null,null,FALSE,null,32.38,YF,412.37839:34463424 413.38174:10725818 414.3851:1882161,55.05497:266689 57.07043:75508 58.06579:54752 59.07345:27494 60.08135:284354 67.05476:153032 69.07053:333586 70.07362:14277 71.04996:9746 71.08632:35204 72.08108:19465 73.02876:21477 79.05479:84561 81.07024:229133 82.07339:13228 83.08619:177762 84.08124:58846 85.06492:22101 86.0965:29121 91.05481:58892 93.07017:108245 95.04936:14026 95.08636:195452 97.06495:58091 97.10157:70507 99.04477:31267 104.10773:55999 105.0703:66949 107.08547:88137 109.06496:28094 109.10161:88795 111.08107:25693 111.11771:11222 114.055:14235 117.07066:16896 119.08542:84550 121.06573:11335 121.101:73149 123.04392:11200 123.08016:20110 123.11773:27225 125.09619:13407 129.06947:15551 130.0864:11644 130.12283:46548 131.08517:45007 133.10095:48936 135.08005:17506 135.11726:34856 137.09589:24200 139.29115:11633 143.08524:23895 145.06134:13508 145.1011:37762 146.51363:10498 147.11589:37194 149.09528:27339 149.13326:18337 157.10049:21035 159.11588:28614 163.11253:17857 165.09004:69676 169.10052:10419 171.11613:14379 173.13348:19642 175.11192:24834 183.11604:10190 185.13229:13651 187.14806:12210 189.09084:12613 189.12784:18513 191.10661:10202 197.13063:16238 202.14307:12574 203.14436:14589 213.16277:10349 243.17433:10663 273.22137:10669 282.05573:10140 283.20926:12018 309.2789:103301 310.2825:12659 393.31512:29646 394.31577:19766 395.29031:20898 395.33502:33815 411.31622:13370 412.3783:1984566,362502,34463424,0,92628,0,0
5028,415.3564,19.017,Unknown,[M+H]+,null,null,null,null,null,FALSE,null,41.3,YF,415.35638:19501096 416.35973:7039729 417.36309:1823789,55.01845:9606 55.05492:96368 56.92708:8705 57.07078:53731 59.04935:8666 60.0393:7864 60.04511:49456 67.05472:92250 69.03397:9161 69.07046:154256 70.06583:14109 71.0494:20358 71.08633:30708 76.79715:8873 79.05466:80090 81.07022:191253 83.04944:11768 83.08609:95903 85.06567:36343 85.10139:9710 88.29932:8089 89.95336:8663 90.05539:33033 91.0549:65244 93.07018:161383 95.04936:23567 95.08634:206054 97.06526:46115 97.1014:45115 105.07038:103515 107.08543:166499 109.06497:26495 109.10166:128147 111.08115:179172 111.11772:9219 115.03622:38077 117.07066:19111 119.08561:145341 120.08887:9272 121.06448:19546 121.10104:97248 122.07248:9683 123.08017:33180 123.11653:41079 124.67267:9297 127.89968:9434 131.08574:51131 133.06467:9455 133.10129:69925 135.08005:31428 135.11722:109620 136.85568:9038 137.05936:13305 137.09589:40905 137.13243:14487 143.08524:26028 145.10127:68772 147.07867:10401 147.11774:61650 148.70758:8520 149.09523:68854 149.13332:40606 150.06682:15694 151.07619:87767 152.08128:10547 157.10049:25464 158.57669:8458 159.07782:11662 159.11618:55838 161.0966:24674 161.1319:53943 163.07503:12726 163.11276:42277 163.14812:12508 165.09003:193337 166.09451:10598 168.47458:8550 169.10052:14035 171.11613:24909 173.09462:12723 173.13133:24196 175.11192:32085 175.14929:28117 176.08286:10000 177.09094:28284 177.12669:17669 177.16248:9182 183.11604:12992 185.13231:23054 187.14807:28422 189.09085:14521 189.12784:9995 189.16486:21629 191.10663:33424 191.17931:11354 197.13326:12266 199.14604:11809 201.16273:11800 203.10587:33814 203.18007:19280 205.1226:54946 211.14662:12695 213.16573:12205 215.17805:9981 217.19505:50611 221.18906:9891 267.21078:12042 280.26294:17210 287.27417:57998 289.25238:16687 298.27557:13902 299.34341:9934 300.28864:12785 326.26901:18673 365.32224:10097 379.3338:24333 383.33051:75579 397.31036:37801 414.38693:30296 415.30038:181156 415.35657:135550,122648,19501096,0,0,181836,53215
5052,416.284,7.674,Unknown,[M+H]+,null,null,null,null,null,FALSE,null,105.56,KF,416.28555:2068868 417.2889:429858 418.29226:0,51.33666:3613 60.88679:2817 79.80714:2905 83.14563:3700 84.2919:3333 89.06029:19973 92.98497:3150 133.08636:13199 141.98773:3497 177.11311:12964 177.24956:4053 203.64207:3317 371.22711:18183 388.53574:3801 416.28091:6017,2068868,1411567,19547766,45502676,287105,15475543
5056,416.3156,16.597,Unknown,[M+H]+,null,null,null,null,null,FALSE,null,7.88,YF,416.31555:9222946 417.3189:3490711 418.32226:0,55.05494:30374 57.07072:4479 61.22027:3812 67.05466:51293 69.07053:26961 71.0494:5384 79.05474:30733 81.07021:110399 83.08602:19253 85.02848:7004 85.06492:17645 91.05475:43701 93.07021:93296 95.04936:8289 95.08634:107026 96.08952:5516 97.06517:4849 99.04477:16816 101.06049:10955 105.07029:74225 106.07429:5743 107.08545:94723 109.06497:11217 109.10176:79506 117.07066:7239 118.08627:26809 119.08556:70371 120.98998:4528 121.10114:64715 123.11773:12791 131.08549:16975 133.10101:68826 135.08005:7531 135.11725:113903 136.11926:5135 137.09589:6064 143.08524:7454 145.10144:31673 147.11761:67466 149.09528:7087 149.13318:40705 157.10049:10060 159.11603:30691 161.13339:113368 163.11255:6775 163.1481:26428 165.09019:10697 169.10052:4453 171.11613:7776 173.1335:16846 175.14705:30360 177.12894:6616 177.16248:3936 181.1232:11723 183.11604:8125 185.13231:5120 187.14807:13889 189.12784:4385 189.16557:22346 193.12181:12921 195.13792:12623 199.1487:6664 201.16289:34780 203.18007:14046 207.13699:13552 211.14954:4430 215.18108:33481 217.19467:12883 221.15434:19305 229.15996:6276 229.19617:10532 235.17101:6619 243.2103:9636 247.16783:11832 249.18478:5551 253.19409:4277 257.22659:9778 261.18408:9597 275.19794:7845 306.27881:6066 321.25836:5411 339.27045:12527 357.27942:350470 358.2807:25938 375.28812:78433 376.29044:4908 397.31036:4707 415.31644:7919 416.19272:9721 416.31927:19413,125279,9222946,0,0,0,0
5151,419.3511,19.443,Unknown,[M+H]+,null,null,null,null,null,FALSE,null,79.77,KF,419.35074:12754273 420.35409:5843627 421.35745:1278667,55.05479:12200 56.05013:3627 57.07026:13234 66.4623:3466 67.05477:17622 68.64284:2998 69.07044:22710 71.08625:9125 74.02415:5847 79.05457:11623 79.87276:3203 81.07022:25857 83.08597:15862 88.71378:3619 90.91644:5128 91.05471:14532 93.06998:23430 95.08627:45504 96.08853:3417 97.06507:9896 97.10136:8937 105.07011:27126 107.08518:19391 108.06081:3573 109.10181:18765 111.11649:3788 117.06934:3904 119.08545:13548 121.10121:24092 123.08004:3976 123.11631:5002 125.09606:5157 128.4362:3297 131.08537:9438 133.10097:19176 135.0799:4743 135.11713:9861 137.04543:26831 143.08508:4174 145.10097:10014 147.11743:4993 148.32803:3457 149.02264:6018 149.09512:11766 151.07414:4027 152.07045:13983 155.08446:6253 157.10013:23030 159.11572:8485 161.13329:7035 163.11232:16283 167.06895:5920 173.13116:6330 177.12653:5500 183.11584:3770 185.13213:7466 197.13306:5938 211.14931:6247 225.16298:5294 287.62149:4027 289.25208:4177 305.92804:3582 365.32059:17416 383.33075:92949 384.33929:19558 401.34467:30029,12754273,23906708,0,0,4884,1173358
5191,420.7637,19.226,Unknown,[M+2H]2+,null,null,null,null,null,FALSE,null,18269.6,YN,420.76367:4832189 421.76702:821601 422.77038:0,71.07321:8032 71.08571:4162 72.93765:3262 81.07008:3340 86.09651:45747 95.08622:5359 105.03449:6907 124.9993:14415 126.7605:3345 149.02274:16280 150.02663:3919 163.01569:14146 178.97861:4630 184.07372:9771 196.99146:3936 222.9684:11908 235.97662:3657 238.96452:7497 239.85683:3862 245.98532:5215 266.9581:12350 308.60461:3452 333.14944:8693 335.16498:26628 336.16843:7635 376.1933:5439 379.08142:13959,2855151,0,0,4832189,0,0
5259,422.3252,18.044,Unknown,[M+H]+,null,null,null,null,null,FALSE,null,139.18,YF,422.32516:56735712 423.32851:15747468 424.33187:3013977,53.03936:15827 55.05494:125694 57.03446:97898 57.07072:24749 58.06564:28366 60.08128:393710 65.03919:21469 67.05469:563055 69.07038:123635 79.05469:138635 81.07015:558167 83.08605:40363 84.08174:42399 85.02923:2705591 86.03213:35589 91.05472:57813 93.07018:143647 95.04935:24458 95.08628:463071 96.08951:17812 97.10145:14360 98.98403:21187 105.0701:55393 107.08538:71905 109.10171:201069 119.08554:70080 121.10103:54039 123.11627:71582 129.07921:17582 131.08549:47600 133.10104:45495 135.11726:30000 137.13242:20346 144.10164:108980 145.1011:42910 147.11589:19506 149.09528:24629 149.13326:19248 155.00954:21573 157.10048:13564 159.11588:25961 161.13148:30806 173.13133:30751 187.14806:16057 363.25168:38938 422.32315:1526920,439373,56735712,0,0,445772,9689730
5261,422.327,18.206,Unknown,[M+NH4]+,null,null,null,null,null,FALSE,null,42.13,YF,422.32697:48827560 423.33032:21780588 424.33368:4489205,55.05493:62451 56.05019:26441 57.03441:39031 57.07032:17260 60.08129:88561 67.05466:93537 69.07047:62454 71.0494:7224 79.05466:34669 81.07023:80140 83.08606:26034 84.08102:10890 85.02923:1132289 86.03215:17837 91.05481:28994 93.07025:53269 95.04937:18106 95.08624:77103 97.10147:10274 102.05533:29574 105.07031:31501 107.08525:44214 109.10166:45467 119.08558:20691 121.10074:37391 123.11644:17263 129.06949:7949 129.20171:7380 131.08551:18977 133.10106:13269 135.11728:23694 144.10173:34771 145.10114:22463 147.1176:14110 149.09702:14373 156.54922:6984 159.11589:15148 161.13152:8336 169.10054:8499 171.11613:9125 173.13135:11584 175.14711:14160 177.16472:12190 187.14809:11241 189.16238:13300 209.65036:7610 213.16278:7320 261.22012:10168 269.94479:7399 334.56699:8610 363.25174:20974 422.323:492904,1599410,48827560,0,0,93089,1005705
5324,424.3404,18.32,"w/o MS2:5-[1,2,4a-trimethyl-5-(3-methylbutanoyloxymethyl)-2,3,4,7,8,8a-hexahydronaphthalen-1-yl]-3-methylpentanoic acid",[M+H]+,424.3421,C25H42O4,Colensane and clerodane diterpenoids,FISIJWVRKFHLSM-UHFFFAOYSA-N,O=C(O)CC(C)CCC1(C)C(C)CCC2(C(=CCCC21)COC(=O)CC(C)C)C,FALSE,98.6,1420.51,YF,424.34042:1224419712 425.34377:469572928 426.34713:73024944,53.00308:30779 53.03933:22883 55.05486:633738 57.03434:388016 57.07076:97885 58.06604:83444 59.07385:36003 60.08167:1274749 61.08463:20147 65.03915:13007 67.05514:368105 69.07042:756743 70.07358:18704 71.04992:15407 71.08628:16114 79.05458:133154 81.0701:475495 82.07405:16716 83.05011:19898 83.086:361824 84.08093:119077 85.02915:10768813 86.03206:162372 91.05464:114780 93.07005:175475 95.0493:23310 95.0862:421590 97.06512:44476 97.10129:238187 99.08024:12274 103.03906:24789 105.07022:102511 107.08521:114960 108.08856:12674 109.10154:187355 111.081:28755 111.11667:44867 117.07059:13831 119.08552:105924 121.10124:79084 123.08009:20822 123.11769:71445 125.09611:13192 126.05562:15066 129.07915:43719 133.10081:91876 135.117:62216 137.09579:16796 137.13234:16651 140.03458:14282 144.10159:314564 147.11711:49581 149.09691:19371 149.13145:24610 151.11119:24026 157.04999:21997 158.05144:12660 159.11769:12754 161.13338:57321 163.14803:18464 165.12833:16877 175.14699:27706 179.14223:15605 189.16473:20102 193.15988:16728 203.17995:14196 245.22679:67282 255.16151:15365 263.23746:38490 269.17236:14328 270.27719:13438 309.20703:16781 365.26904:27690 423.3284:37178 424.33859:3969824,7357503,1224419712,27784,0,10385009,91252960
