ID,m/z,Rt(min),Metabolite name,Adduct type,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,MS/MS matched,Total score,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,KF,YF,KN,YN,KX,YX
922,317.2687,17.354,Unknown,[M+NH4]+,null,null,null,null,null,FALSE,null,21.67,YF,317.26871:21505344 318.27206:5804841 319.27542:775430,55.05485:22842 57.07042:85901 58.07404:12320 58.88489:8267 62.18641:7850 66.47111:8476 67.05465:10390 69.07043:35351 70.06604:75924 71.06929:10093 71.08633:36810 73.02891:241261 74.0327:8213 79.95957:9901 81.07014:25745 83.08607:18785 85.1014:14192 88.07637:125528 89.07952:10143 91.05482:15249 93.07016:29578 95.08629:19181 97.10147:8089 102.09161:61973 104.27715:8853 105.07032:12726 107.08645:17116 109.02934:7925 116.07048:9036 117.06947:8346 119.08559:9435 121.10113:10028 131.08553:11021 133.10107:13945 134.08067:8356 146.06898:8653 223.55702:10156 226.25337:18245 244.26392:68502 245.26634:26442 256.263:19897 257.26575:13040 270.27686:115840 271.28271:46723 298.2756:9266 316.28235:480679 317.21249:12725 317.25:26917 317.28674:227917,312673,21505344,1892,116603,15808,0
941,318.1737,14.345,w/o MS2:angoletin,[M+H]+,318.16998,C18H20O4,2'-Hydroxy-dihydrochalcones,HBRYKWADRULLHU-UHFFFAOYSA-N,O=C(C=1C(O)=C(C(O)=C(C1OC)C)C)CCC=2C=CC=CC2,FALSE,93.3,11.4,YF,318.17371:6016444 319.17706:1562121 320.18042:343684,51.28269:2750 55.05492:34166 57.07073:4985 67.05468:31505 69.07049:68127 71.04941:5521 76.02188:4583 77.22464:2751 78.4878:2839 79.05475:25044 81.07021:56661 83.08607:10262 84.19227:3198 85.01139:14774 85.06493:4255 85.7679:3177 87.02674:8887 88.03951:41353 90.91655:3353 91.05481:18245 93.07035:22628 95.04937:4867 95.08636:67616 97.06519:3387 99.02702:7837 105.07054:16871 106.06498:4978 106.19978:3027 107.04968:4875 107.08566:17744 109.06498:3522 109.10171:14050 113.04184:3694 119.08589:23124 121.10113:9827 122.02646:6481 123.08019:7778 127.02086:12852 130.96605:3578 131.08553:4452 133.10107:11336 135.11781:15669 137.0959:4022 137.1321:16923 145.03156:14521 147.11592:4715 149.13156:3815 159.11591:5275 161.13155:20860 169.10474:43055 171.12041:9219 179.14105:15139 183.12077:5128 199.14873:4685 205.9435:3276 211.11465:11240 229.12517:41440 230.13689:8236 231.99551:4553 246.09532:3307 250.00751:5447 257.12494:5064 271.14331:5257 272.17087:5159 289.15445:9076 301.14847:14626 317.24463:7871 318.17371:14568 318.2114:4004,156016,6016444,24627,34890,2326796,323031
1093,321.2176,6.91,"w/o MS2:(5S,9R)-14-(hydroxymethyl)-5,9-dimethyltetracyclo[11.2.1.0?,??.0?,?]hexadecane-5-carboxylic acid",[M+H]+,321.22092,C20H32O3,Kaurane diterpenoids,HHAMKMUMKLXDFQ-KFRFNOKNSA-N,O=C(O)C1(C)CCCC2(C)C1CCC34CC(CO)C(CCC32)C4,FALSE,94.7,16.47,YN,321.21762:2774696 322.22097:945887 323.22433:533921,58.06602:4878 63.46368:2342 70.06579:5531 73.61458:3211 77.86958:3156 84.08102:138538 127.12253:21667 226.29517:3603 258.97241:3475 304.19:6207 315.23911:3402 320.17966:4798 321.21313:16197,26593,36874,45806,2774696,0,0
1101,321.2567,16.584,Unknown,[M+Na]+,null,null,null,null,null,FALSE,null,25.11,YF,321.25671:9298469 322.26006:3290248 323.26342:0,50.22189:2712 55.05485:7767 62.66068:2881 65.95506:2833 67.05476:17676 69.07043:10403 79.05466:8704 81.07021:34258 83.08607:3999 91.05494:15862 93.07037:24640 93.10252:2908 95.08549:22875 103.05401:3435 105.07037:47601 107.08548:22949 109.10177:20010 110.10718:3517 117.06947:13844 119.08565:18363 119.40913:3346 121.10113:12540 123.11645:6970 129.0695:6891 131.08549:24708 133.10107:14104 135.11729:9933 141.06972:3823 143.08542:16375 145.10136:19141 147.11591:11208 149.13329:14457 155.08463:7814 157.10091:14839 159.11598:36777 160.118:4039 161.13152:7820 163.14815:3975 169.10056:10626 171.11615:12083 173.13351:7946 181.10011:3339 182.10744:3646 183.11607:10608 185.13232:7506 187.14809:5852 197.13329:7827 199.14873:9610 203.1801:5304 209.13316:6618 210.13773:12992 211.14722:19062 213.1628:6706 225.16324:7465 239.17856:6678 251.17747:9452 265.19669:12372 279.2114:6286 297.42737:3426 320.24527:16108 321.25836:166993,9562,9298469,0,0,26093,12189
1152,323.1028,8.041,Unknown,[M+H]+,null,null,null,null,null,FALSE,null,5.12,YF,323.10278:1454438 324.10613:458349 325.10949:97404,55.17009:2557 63.72634:2935 81.07084:3134 98.06039:3279 102.09349:3139 107.08541:3444 109.62341:2936 162.05476:51239 196.30647:3405 273.05447:3065 308.28638:3345,0,1454438,26700,757731,0,0
1233,324.2376,5.868,Unknown,[M+H]+,null,null,null,null,null,FALSE,null,84.07,KF,324.23727:17375136 325.24062:2712716 326.24398:261591,58.06601:3396 60.08135:31085 70.06521:3633 72.08101:8636 75.72347:2493 89.06035:25432 121.06562:6426 138.56273:3067 186.90048:3770 210.00757:3018 258.43567:3252 275.11969:3264 277.73041:3659 324.23831:263962,17375136,48879288,0,628276,0,25038
1251,325.0986,14.082,"w/o MS2:3-[(2,6-dihydroxy-3,4-dimethylphenyl)methyl]-2,4-dihydroxy-6-methylbenzaldehyde",[M+H]+,325.10464,C17H18O5,Diphenylmethanes,CTJPDNXMUMTMJX-UHFFFAOYSA-N,O=CC1=C(O)C(=C(O)C=C1C)CC2=C(O)C=C(C(=C2O)C)C,FALSE,83.5,38.67,YN,325.09863:9490801 326.10198:2271381 327.10534:578512,57.60594:2858 64.9502:2967 79.05393:5001 95.04929:7368 99.0447:6671 108.01292:4963 112.15117:2845 129.0694:6895 154.07841:3228 171.03537:7293 173.05171:20500 183.03604:8645 185.05098:9529 201.04665:15026 219.05821:230976 220.06079:7176 232.02884:5435 245.73671:3373 247.05006:22521 250.03729:13526 265.06546:5334 281.07428:4857 282.08246:7364 293.51135:4172 310.07468:62935 325.09827:270466,0,2322536,102804,9490801,0,0
1263,325.1611,15.355,Unknown,[M+H]+,null,null,null,null,null,FALSE,null,5.08,YN,325.1611:1801479 326.16445:307992 327.16781:0,66.73136:3087 84.47055:2943 87.24496:2870 102.63161:3018 214.92963:3271 284.29242:4409 325.15939:53281,0,33526,0,1801479,25756,0
1364,327.2169,18.1,w/o MS2:Aleuretic Acid,[M+H]+,327.21329,C16H32O5,,MEHUJCGAYMDLEL-LSDHHAIUSA-N,O=C(O)CCCCCCCC(O)C(O)CCCCCCO,FALSE,93.6,51.52,YF,327.21692:24830648 328.22027:6599726 329.22363:3515779,55.01846:5935 55.05496:21595 57.07073:15577 67.05479:28764 69.07046:20008 71.04941:4686 71.08634:6765 79.05478:22844 80.37822:3523 81.0702:44062 82.07341:3939 83.08607:11046 85.06568:4609 85.1014:12843 86.09727:4269 87.31385:4623 88.76383:3897 88.77017:4008 91.05482:15781 93.07016:16967 95.04938:7628 95.08541:28743 97.0108:7869 97.10148:5860 100.02226:4486 105.07032:18319 107.08626:19310 109.06498:10876 109.10172:11429 111.04446:7965 113.09657:6888 117.07068:5492 119.08559:16701 121.10114:9458 123.11775:7349 129.0695:4907 131.08553:9678 133.10107:8936 135.11729:5655 137.05925:41775 143.08527:8956 145.10114:10291 147.11592:12613 149.09531:5676 159.11781:10959 161.13347:6465 171.11617:5361 173.13136:5660 215.18108:6229 226.25339:8486 226.7998:4608 231.17336:4951 277.17847:26470 277.2135:9616 286.27582:7254 295.22635:6863 308.29663:7376 309.25366:6109 327.19879:10642 327.23248:15015,139970,24830648,0,0,37449,0
1423,328.2481,13.493,w/o MS2:dihydroalbocycline,[M+NH4]+,328.24823,C18H30O4,Macrolides and analogues,XIHUXEHAQPSMTF-KBVZDLPWSA-N,O=C1OC(C)C(C)CCC=C(C)C(OC)C=CC(O)(C)CC1,FALSE,100,5.71,YF,328.24805:10444274 329.2514:2441838 330.25476:2098300,55.01846:5874 55.05492:47218 58.06565:9038 67.05479:18085 67.37447:3118 68.05028:3750 69.03398:3245 69.07044:12575 70.02923:19841 70.06584:3876 71.08635:23219 72.95485:2922 77.67257:4123 79.05452:16442 81.03416:11938 81.07013:28630 82.06565:4538 83.04945:8113 83.08617:30534 91.05482:10829 93.07019:15898 95.04937:7662 95.08629:11414 97.1014:28827 99.08122:27817 100.11242:133272 101.11641:4106 105.07032:8284 107.08553:23945 109.10063:7371 111.08109:3692 114.12783:10664 119.08559:9462 121.10113:8726 125.09617:23328 131.08553:3512 133.10107:8938 135.08006:5739 135.11729:3610 139.11208:3381 140.14317:13824 142.1227:43399 147.11592:4556 153.09122:3425 157.10239:3851 159.11591:5912 179.10599:3495 185.06786:3083 189.11307:12539 193.12219:20164 196.13425:36446 211.13194:45013 212.13647:4318 214.14308:12208 228.1599:4722 240.09323:3676 253.77969:3791 267.95798:3349 268.22858:4634 286.29419:3310 293.2114:14642 310.2359:5675 327.23245:6880 328.24722:16024,289347,10444274,1962,7619,0,0
1428,328.2847,15.003,Unknown,[M+H]+,null,null,null,null,null,FALSE,null,4.73,YF,328.28473:8345964 329.28808:2010144 330.29144:137259,55.05485:11838 57.07073:3940 58.06607:7530 62.04157:3278 67.05465:7073 69.07044:7969 70.06584:4334 71.04997:3202 79.05466:5927 81.07014:13817 85.06568:4861 91.05482:5414 93.07016:9794 95.08629:10082 95.31533:3915 100.11249:248731 101.11545:6061 105.07032:5604 107.0854:10228 114.12785:181051 119.08559:7721 121.10113:3865 128.14276:40583 131.08553:8640 133.10107:4350 135.11729:5135 145.10114:4176 147.11592:5063 157.10052:5378 159.11591:4330 169.10056:3400 183.11607:3810 196.17012:15779 207.11723:3756 210.18684:6960 214.17882:22108 228.19585:13901 242.20981:3835 255.21196:7012 267.6712:3342 269.18933:4264 311.202:4001 328.28534:31175,39187,8345964,0,21074,0,0
1429,328.2848,15.163,Unknown,[M+H]+,null,null,null,null,null,FALSE,null,4.54,YF,328.28482:8305696 329.28817:1975552 330.29153:0,55.05493:17680 57.07032:4830 58.06607:6376 67.05465:13349 69.0705:31022 70.06584:14190 79.05466:11682 81.07018:18321 83.08607:8168 85.02923:6002 85.06568:4511 86.09651:4261 91.05482:10408 93.07016:13518 95.08629:14193 95.50977:3742 97.10147:3649 105.07031:13467 106.07327:3533 107.0854:12053 109.10171:11910 111.08108:3819 119.08558:14900 121.10113:6633 126.98285:3412 128.14284:8904 131.08553:4972 133.10107:10484 135.11729:7499 142.15964:402543 143.08527:6204 143.16319:11962 145.10114:8275 147.1176:9398 149.13329:4012 159.11591:9467 161.13152:4636 173.13136:4416 182.15382:58247 199.14873:4198 200.16528:107314 201.16817:5568 229.19618:4081 308.05548:3524 309.25882:13461 310.26181:11014 327.26547:17575 328.2858:37968,35523,8305696,0,0,0,0
1430,328.2849,15.692,Unknown,[M+H]+,null,null,null,null,null,FALSE,null,3.79,YF,328.28485:6812278 329.2882:1667999 330.29156:0,55.05489:25412 57.07032:7108 58.0293:33082 58.06565:6228 67.05482:16906 69.07045:21806 70.06595:29435 71.08576:3673 79.05466:13172 81.07015:20530 84.08102:5472 85.02923:13675 91.05482:11015 93.07023:22763 95.08629:45160 97.10151:66563 98.10552:4874 105.07021:16837 107.0854:13952 109.10171:9505 113.09656:4264 117.06947:5396 119.08558:11468 121.10113:11613 123.08018:10958 126.12821:8158 131.08553:8720 133.10107:11103 135.11728:9685 136.11174:8002 143.08525:6954 145.10114:12540 147.11591:10064 149.13329:6399 154.12204:96240 157.10051:4216 159.1178:11078 161.13345:6842 170.19031:19183 171.11615:4146 172.1331:411320 173.13568:14840 175.10976:3745 185.13232:6088 187.14809:3996 199.14873:7427 213.1628:5089 253.19411:4868 254.1981:3922 309.25882:9684 310.26181:4141 327.23245:8075 327.26614:16892 328.28558:59831,13166,6812278,0,0,3139,0
1444,329.066,13.981,w/o MS2:8-(2-hydroxy-1-methoxy-3-methylbut-3-enyl)-7-methoxychromen-2-one,[M+H]+,329.07059,C16H18O5,Coumarins and derivatives,DBPWCIPDCMVUFT-UHFFFAOYSA-N,O=C1OC2=C(C=C1)C=CC(OC)=C2C(OC)C(O)C(=C)C,FALSE,89.9,156.69,YF,329.06598:41965076 330.06933:8682227 331.07269:1602507,55.01845:5761 56.05019:4864 65.03919:16322 67.01872:12285 67.05464:9252 68.99749:18209 69.03397:6896 79.05465:3774 81.07013:8274 91.0549:52179 93.07015:7811 95.08628:8675 103.05499:6300 105.0703:7831 107.04966:16128 109.1017:8211 111.04451:36298 119.04985:40180 119.08557:5019 121.02923:37757 121.10112:6159 127.03849:10693 131.04993:10505 131.08549:4692 133.10106:5032 135.04424:30405 139.03905:34582 143.08524:4442 145.10112:4232 147.04317:532323 148.04739:19308 149.0228:191081 150.02673:4828 151.84679:4160 153.01756:352624 153.06783:6982 154.02232:6254 154.12389:11732 159.04358:13785 163.03947:5855 167.0341:61323 171.02913:11689 171.04398:8110 172.13306:17669 175.03917:55796 175.72002:4067 181.06541:14399 185.06065:7136 187.03886:4007 195.02924:70467 197.05978:4407 199.03947:8235 199.07677:13488 203.03455:49155 209.06145:11756 213.0536:5398 218.46298:3863 226.06305:4319 227.03316:12823 227.06885:13991 237.05287:36191 255.06483:156295 256.06857:9703 265.04926:6081 282.05121:12133 283.05991:184670 284.06091:8828 287.43683:4126 293.04477:5310 311.05588:95660 312.05756:7788 329.06491:34703 329.21173:6928,0,41965076,0,1216780,0,36439
1447,329.1015,10.253,"w/o MS2:Isotectorigenin, 7-Methyl Ether",[M+H]+,329.10196,C18H16O6,7-O-methylisoflavones,WVKDAMAQNQRJFP-UHFFFAOYSA-N,O=C1C(=COC2=C(OC)C(OC)=CC(O)=C12)C=3C=CC(OC)=CC3,FALSE,99.9,24.06,YF,329.10153:3494157 330.10488:936464 331.10824:124025,57.03436:2994 65.74072:3214 67.05517:3177 81.07015:4944 82.04521:2942 85.02924:3401 85.34389:2888 91.05482:9319 93.07016:5665 95.0863:6601 105.07032:3780 116.36396:3128 119.08559:4381 129.07091:3909 131.08553:3583 137.02283:23963 143.08688:3930 145.02824:4693 145.10115:6659 153.06966:5378 181.06546:12601 199.07449:39022 227.06879:15880 237.05305:6023 251.17747:3846 255.06497:222432 256.0686:13153 291.43402:3250 310.23593:4853 311.19681:5695 328.25092:7133 329.10413:166143 329.21179:11341 329.24579:5969,79649,3494157,0,186452,0,0
1493,330.1371,13.169,"w/o MS2:1,3,6-trihydroxy-2-(3-methylbut-2-enyl)xanthen-9-one",[M+H]+,330.13361,C18H16O5,2-prenylated xanthones,BUVGSDAKOBKGFK-UHFFFAOYSA-N,O=C1C2=CC=C(O)C=C2OC3=CC(O)=C(C(O)=C13)CC=C(C)C,FALSE,94,3.14,YN,330.13712:1898808 331.14047:398877 332.14383:0,55.52186:3273 56.05015:4615 62.07676:2405 63.40284:2703 71.20294:2821 74.00667:9189 79.05464:18356 81.07008:3647 83.04939:3727 83.06087:3606 84.04518:15053 88.04017:3964 93.07008:2910 97.49732:3050 101.05946:3635 105.07023:5141 107.08623:17812 116.01704:7645 120.99495:4325 121.10104:4257 122.02764:14021 124.0872:7804 125.06029:4644 130.0498:21463 131.08542:4232 149.09518:6047 162.02148:26689 164.03696:9009 165.11423:3660 167.10793:5585 207.12273:5445 242.12027:10835 253.72583:3293 270.11713:4576 271.10074:5728 288.12646:4993,0,15987,192834,1898808,0,0
1523,330.2636,17.825,Unknown,[M+H]+,null,null,null,null,null,FALSE,null,22.5,YF,330.26361:39121740 331.26696:7777780 332.27032:2171730,53.03936:5211 55.01854:24890 55.05493:105539 56.05019:7446 57.03403:30064 57.07081:19286 59.04978:6817 62.06057:5752 65.03919:5566 67.05471:214696 68.05826:3838 69.03397:13092 69.07047:85885 70.06583:3578 71.05002:17934 71.08632:13755 73.02876:5853 79.0547:97715 81.03426:24581 81.0702:185977 82.07339:4266 83.04948:49642 83.06093:6953 83.08609:48797 85.06492:8093 91.0548:65009 93.07019:116665 93.26544:3736 95.04952:30503 95.08629:100023 97.06524:26206 97.10139:30985 99.08123:7661 105.07035:48515 106.07325:4758 107.06122:4598 107.08533:51131 109.06496:13090 109.10166:93764 109.11575:3463 111.08111:20368 117.06946:8681 119.08559:49645 121.101:37859 123.08017:8486 123.11641:28569 124.08716:30534 125.09609:18502 128.59106:3645 129.06947:8367 131.08549:11700 131.90488:3396 133.10097:32017 135.08005:7109 135.11748:21081 137.09589:14114 137.13091:4483 139.11243:29831 143.08524:6993 145.10112:11093 147.08035:6590 147.11775:20953 148.08691:3678 149.097:7772 149.13155:11983 151.11128:6682 153.09119:6296 153.12712:8914 154.12206:4657 155.10628:33270 157.10049:9951 159.11778:8231 161.13181:21815 163.14812:5024 165.09019:5419 165.11433:12234 165.1284:12682 171.11613:6905 172.13319:9135 173.11845:66561 174.12067:4428 175.14929:7713 189.11057:6945 193.12181:10823 203.10587:6395 207.12569:10923 211.13206:12047 231.20999:5071 241.19417:10333 259.2059:8712 270.27737:4081 277.21774:75158 278.21851:10400 294.24261:6547 295.22668:47646 296.22943:4345 329.21173:6583 330.29636:12135 330.33621:5858,1061026,39121740,151628,170509,181866,2346616
